Repository,Resolves,Compiles,Passes tests,Overlapping,Additions,Subtractions,Resolved,Replacements,Replacement rate,Downgrades,Upgrades,Change rate,Downgrade steps,Upgrade steps,Change magnitude
lvivco/mdcfg,True,True,True,24,0,0,24,2,0.08333333333333333,2,0,0.08333333333333333,6,0,3.0
yegor256/jaxec,True,True,True,2,0,0,2,1,0.5,0,0,0.0,0,0,0
cardano-foundation/cf-adahandle-resolver,True,True,True,184,0,0,178,8,0.0449438202247191,7,0,0.03932584269662921,20,0,2.857142857142857
toilatester/sonar-microsoft-teams-notifier,True,True,True,14,0,0,14,0,0.0,0,0,0.0,0,0,0
KingPrimes/NyxBot,True,True,True,114,4,0,118,5,0.0423728813559322,0,0,0.0,0,0,0
objectionary/jeo-maven-plugin,True,True,True,29,0,0,27,6,0.2222222222222222,0,0,0.0,0,0,0
Flmelody/windward,True,True,True,53,0,0,43,1,0.023255813953488372,1,0,0.023255813953488372,4,0,4.0
ai-for-java/openai4j,True,True,True,13,0,0,13,1,0.07692307692307693,0,1,0.07692307692307693,0,5,5.0
awslabs/eventbridge-kafka-connector,True,True,True,54,1,0,55,0,0.0,0,0,0.0,0,0,0
cupybara/java-langchains,True,True,True,51,0,0,51,2,0.0392156862745098,2,0,0.0392156862745098,6,0,3.0
strimzi/strimzi-mqtt-bridge,True,True,True,57,0,0,51,2,0.0392156862745098,2,0,0.0392156862745098,2,0,1.0
ai-for-java/ai4j,True,True,True,19,0,0,19,3,0.15789473684210525,0,0,0.0,0,0,0
novuhq/novu-java,True,True,True,15,0,0,15,1,0.06666666666666667,1,0,0.06666666666666667,2,0,2.0
gurkanucar/spring-boot-test,True,True,True,96,4,0,100,6,0.06,0,0,0.0,0,0,0
mipo256/properties-maven-plugin,True,True,True,3,0,0,3,1,0.3333333333333333,0,0,0.0,0,0,0
HiranChaudhuri/OoliteStarter,True,True,True,9,0,0,9,2,0.2222222222222222,0,0,0.0,0,0,0
Natural-Intelligence/openLineage-openMetadata-transporter,True,True,True,24,0,0,24,1,0.041666666666666664,0,0,0.0,0,0,0
LarryDpk/Google-Bard,True,True,True,11,0,0,11,3,0.2727272727272727,3,0,0.2727272727272727,5,0,1.6666666666666667
pgvector/pgvector-java,True,True,True,2,0,0,2,0,0.0,0,0,0.0,0,0,0
microsoft/lst-bench,False,False,False,0,0,0,0,0,0.0,0,0,0.0,0,0,0
soujava/pom-editor-maven-plugin,True,True,True,1,0,0,1,0,0.0,0,0,0.0,0,0,0
wiremock/wiremock-testcontainers-java,True,True,True,12,0,0,12,2,0.16666666666666666,0,0,0.0,0,0,0
kingschan1204/easycrawl,True,True,False,18,0,0,18,1,0.05555555555555555,1,0,0.05555555555555555,1,0,1.0
micw/tibber-pulse-reader,True,True,True,26,0,0,26,0,0.0,0,0,0.0,0,0,0
reactiveclown/openai-webflux-java,True,True,True,50,2,0,52,3,0.057692307692307696,0,0,0.0,0,0,0
PramodKumarYadav/restpro,False,False,False,0,0,0,0,0,0.0,0,0,0.0,0,0,0
oktadev/auth0-spring-boot-angular-crud-example,True,True,True,81,1,0,82,4,0.04878048780487805,1,0,0.012195121951219513,2,0,2.0
Dogloverblue/Lorcana-API,True,True,True,4,0,0,4,1,0.25,0,0,0.0,0,0,0
YehiaFarghaly/database-engine,True,True,True,42,0,0,28,0,0.0,0,0,0.0,0,0,0
descope/descope-java,True,True,True,20,0,0,20,3,0.15,2,0,0.1,4,0,2.0
zhugezifang/zol-collector,True,True,True,20,0,0,20,3,0.15,0,0,0.0,0,0,0
RomaKudryavtsev/java-linkmancer,True,True,True,79,0,0,79,3,0.0379746835443038,4,0,0.05063291139240506,14,0,3.5
ali-bouali/bootcamp-spring-boot,True,True,True,95,1,0,96,7,0.07291666666666667,3,0,0.03125,5,0,1.6666666666666667
harmonyzhang/whatsapp-business-java-sdk,True,True,True,8,5,0,13,1,0.07692307692307693,0,0,0.0,0,0,0
chrissimon-au/tdd-ddd-demo-java,True,True,True,91,0,0,91,5,0.054945054945054944,1,0,0.01098901098901099,2,0,2.0
onurhizar/spring-boot-gamepass-app,True,True,True,80,8,0,88,3,0.03409090909090909,3,0,0.03409090909090909,17,0,5.666666666666667
sid10t/netty-demo,True,True,True,14,0,0,14,0,0.0,0,0,0.0,0,0,0
junghoon-vans/spring-data-meilisearch,True,True,True,22,0,0,22,2,0.09090909090909091,0,0,0.0,0,0,0
anarsultanov/keycloak-multi-tenancy,False,False,False,0,0,0,0,0,0.0,0,0,0.0,0,0,0
praveensirvi1212/DevSecOps-project,True,True,True,29,0,0,29,1,0.034482758620689655,0,0,0.0,0,0,0
titusfortner/selenium-logger,True,True,True,44,0,0,44,1,0.022727272727272728,2,0,0.045454545454545456,2,0,1.0
SpringBootCourses/tasklist,True,True,True,141,2,0,143,8,0.055944055944055944,1,0,0.006993006993006993,2,0,2.0
Andrewcpu/elevenlabs-api,True,True,True,7,0,0,7,3,0.42857142857142855,2,0,0.2857142857142857,2,0,1.0
eo-cqrs/eo-kafka,False,False,False,0,0,0,0,0,0.0,0,0,0.0,0,0,0
liquibase/liquibase-databricks,True,True,True,8,0,0,8,0,0.0,0,0,0.0,0,0,0
pro-crafting/Jasper-report-maven-plugin,True,True,True,19,1,0,20,4,0.2,3,0,0.15,3,0,1.0
extrawest/Charge-Point-Simulator-via-OCPP-2.0.1,True,True,True,47,0,0,47,2,0.0425531914893617,1,0,0.02127659574468085,2,0,2.0
