repository,number,eligible,ga,v_old,v_new,update_type,statically_compatible,dynamically_compatible,err
GoogleCloudPlatform/jit-access,367,1,com.google.apis:google-api-services-secretmanager,v1-rev20240314-2.0.0,v1-rev20240424-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,332,1,com.google.apis:google-api-services-secretmanager,v1-rev20240309-2.0.0,v1-rev20240314-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,327,1,com.google.apis:google-api-services-secretmanager,v1-rev20240126-2.0.0,v1-rev20240309-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,268,1,com.google.apis:google-api-services-secretmanager,v1-rev20230804-2.0.0,v1-rev20240126-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,133,1,com.google.apis:google-api-services-secretmanager,v1-rev20230421-2.0.0,v1-rev20230804-2.0.0,major,1,,
GoogleCloudPlatform/jit-access,274,1,com.google.auth:google-auth-library-oauth2-http,1.22.0,1.23.0,minor,1,0,no_test
GoogleCloudPlatform/jit-access,254,1,com.google.auth:google-auth-library-oauth2-http,1.20.0,1.22.0,minor,1,0,no_test
GoogleCloudPlatform/jit-access,168,1,com.google.auth:google-auth-library-oauth2-http,1.19.0,1.20.0,minor,1,0,no_test
jhipster/jhipster-lite,9428,1,com.google.cloud.tools:jib-maven-plugin,3.4.1,3.4.2,patch,1,0,no_maven
jhipster/jhipster-lite,9066,1,com.google.cloud.tools:jib-maven-plugin,3.4.0,3.4.1,patch,1,0,no_maven
openbrms/openbrms,62,1,com.google.cloud.tools:jib-maven-plugin,3.4.0,3.4.1,patch,1,0,no_maven
openbrms/openbrms,28,1,com.google.cloud.tools:jib-maven-plugin,3.3.2,3.4.0,minor,1,0,no_maven
cmu-db/benchbase,492,1,com.google.cloud:google-cloud-spanner-jdbc,2.16.0,2.16.1,patch,1,1,
cmu-db/benchbase,474,1,com.google.cloud:google-cloud-spanner-jdbc,2.15.4,2.15.5,patch,1,1,
cmu-db/benchbase,465,1,com.google.cloud:google-cloud-spanner-jdbc,2.15.2,2.15.3,patch,1,1,
cmu-db/benchbase,456,1,com.google.cloud:google-cloud-spanner-jdbc,2.15.1,2.15.2,patch,1,0,
cmu-db/benchbase,450,1,com.google.cloud:google-cloud-spanner-jdbc,2.14.6,2.15.1,minor,1,0,
GoogleCloudPlatform/jit-access,125,1,com.google.errorprone:error_prone_core,2.20.0,2.21.1,minor,0,,
OpenFeign/querydsl,341,1,com.google.guava:guava,33.0.0-jre,33.1.0-jre,minor,0,,
OpenFeign/querydsl,202,1,com.google.guava:guava,32.1.3-jre,33.0.0-jre,major,0,,
OpenFeign/querydsl,168,1,com.google.guava:guava,32.1.3-jre,33.0.0-jre,major,0,,
OpenFeign/querydsl,12,1,com.google.guava:guava,30.1.1-jre,32.0.0-jre,major,0,,
awslabs/eventbridge-kafka-connector,103,1,com.google.guava:guava,32.1.1-jre,32.1.2-jre,patch,1,0,no_test
OpenFeign/querydsl,419,1,com.google.guava:guava,33.1.0-jre,33.2.0-jre,minor,1,0,no_test
alibaba/fastjson2,2343,1,com.google.guava:guava,33.0.0-jre,33.1.0-jre,minor,0,,
alibaba/fastjson2,2173,1,com.google.guava:guava,32.1.3-jre,33.0.0-jre,major,0,,
alibaba/fastjson2,1933,1,com.google.guava:guava,32.1.2-jre,32.1.3-jre,patch,1,0,no_test
alibaba/fastjson2,1738,1,com.google.guava:guava,32.1.1-jre,32.1.2-jre,patch,1,0,no_test
SonicCloudOrg/sonic-agent,378,1,com.google.guava:guava,31.0.1-jre,32.1.2-jre,major,0,,
devlive-community/datacap,706,1,com.google.guava:guava,32.1.2-jre,33.1.0-jre,major,0,,
devlive-community/datacap,415,1,com.google.guava:guava,31.1-jre,32.1.2-jre,major,0,,
instancio/instancio,959,1,com.google.guava:guava,33.0.0-jre,33.1.0-jre,minor,0,,
instancio/instancio,857,1,com.google.guava:guava,32.1.3-jre,33.0.0-jre,major,0,,
instancio/instancio,769,1,com.google.guava:guava,32.1.1-jre,32.1.3-jre,patch,1,0,no_test
kspalaiologos/kamilalisp,60,1,com.google.guava:guava,32.1.2-jre,32.1.3-jre,patch,1,0,no_test
kspalaiologos/kamilalisp,43,1,com.google.guava:guava,32.1.1-jre,32.1.2-jre,patch,1,0,no_test
albilu/netbeansPython,67,1,com.google.guava:guava,32.0.1-jre,32.1.2-jre,minor,0,,
gameyfin/gameyfin,159,1,com.google.jimfs:jimfs,1.2,1.3.0,minor,0,,
alibaba/fastjson2,2261,1,com.google.protobuf:protobuf-bom,3.25.2,3.25.3,patch,0,,no_jar
alibaba/fastjson2,2249,1,com.google.protobuf:protobuf-bom,3.25.1,3.25.2,patch,0,,no_jar
alibaba/fastjson2,2024,1,com.google.protobuf:protobuf-bom,3.25.0,3.25.1,patch,0,,no_jar
alibaba/fastjson2,1987,1,com.google.protobuf:protobuf-bom,3.24.4,3.25.0,minor,0,,no_jar
alibaba/fastjson2,1917,1,com.google.protobuf:protobuf-bom,3.24.3,3.24.4,patch,0,,no_jar
alibaba/fastjson2,1847,1,com.google.protobuf:protobuf-bom,3.24.2,3.24.3,patch,0,,no_jar
alibaba/fastjson2,1801,1,com.google.protobuf:protobuf-bom,3.24.1,3.24.2,patch,0,,no_jar
alibaba/fastjson2,1778,1,com.google.protobuf:protobuf-bom,3.24.0,3.24.1,patch,0,,no_jar
alibaba/fastjson2,1736,1,com.google.protobuf:protobuf-bom,3.23.4,3.24.0,minor,0,,no_jar
jhipster/jhipster-lite,9382,1,com.google.protobuf:protobuf-java,4.26.0,4.26.1,patch,1,,
jhipster/jhipster-lite,9215,1,com.google.protobuf:protobuf-java,3.25.3,4.26.0,major,0,,
jhipster/jhipster-lite,8921,1,com.google.protobuf:protobuf-java,3.25.2,3.25.3,patch,1,0,no_maven
jhipster/jhipster-lite,8708,1,com.google.protobuf:protobuf-java,3.23.3,3.25.2,minor,0,,
quarkiverse/quarkus-primefaces,198,1,com.googlecode.libphonenumber:libphonenumber,8.13.35,8.13.36,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,192,1,com.googlecode.libphonenumber:libphonenumber,8.13.34,8.13.35,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,154,1,com.googlecode.libphonenumber:libphonenumber,8.13.27,8.13.28,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,143,1,com.googlecode.libphonenumber:libphonenumber,8.13.26,8.13.27,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,140,1,com.googlecode.libphonenumber:libphonenumber,8.13.25,8.13.26,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,132,1,com.googlecode.libphonenumber:libphonenumber,8.13.24,8.13.25,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,129,1,com.googlecode.libphonenumber:libphonenumber,8.13.23,8.13.24,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,124,1,com.googlecode.libphonenumber:libphonenumber,8.13.22,8.13.23,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,117,1,com.googlecode.libphonenumber:libphonenumber,8.13.21,8.13.22,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,113,1,com.googlecode.libphonenumber:libphonenumber,8.13.20,8.13.21,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,104,1,com.googlecode.libphonenumber:libphonenumber,8.13.19,8.13.20,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,101,1,com.googlecode.libphonenumber:libphonenumber,8.13.18,8.13.19,patch,1,0,no_compile
quarkiverse/quarkus-primefaces,98,1,com.googlecode.libphonenumber:libphonenumber,8.13.17,8.13.18,patch,1,0,no_compile
SpringBootCourses/tasklist,32,1,com.graphql-java-kickstart:graphql-java-kickstart,15.0.0,15.2.0,minor,0,,
SpringBootCourses/tasklist,27,1,com.graphql-java:graphql-java-extended-scalars,20.2,21.0,major,1,0,no_maven
kspalaiologos/kamilalisp,59,1,com.guardsquare:proguard-base,7.3.2,7.4.0,minor,0,,
kspalaiologos/kamilalisp,49,1,com.guardsquare:proguard-core,9.0.10,9.1.0,minor,0,,
bytemcnetzwerk/evelon,14,1,com.h2database:h2,2.2.222,2.2.224,patch,1,,
OpenFeign/querydsl,184,1,com.ibm.db2:jcc,11.5.8.0,11.5.9.0,patch,0,,
OpenFeign/querydsl,116,1,com.ibm.db2:jcc,11.5.8.0,11.5.9.0,patch,0,,
OpenFeign/querydsl,59,1,com.ibm.db2:jcc,11.5.5.0,11.5.8.0,patch,0,,
alibaba/fastjson2,2209,1,com.jayway.jsonpath:json-path,2.8.0,2.9.0,minor,1,0,no_maven
SpringBootCourses/data-analyser-microservice,22,1,com.jcabi:jcabi-xml,0.27.2,0.29.0,minor,1,1,
albilu/netbeansPython,59,1,com.konghq:unirest-java,3.14.2,3.14.5,patch,1,0,no_test
britka/playwrightium,38,1,com.microsoft.playwright:playwright,1.42.0,1.43.0,minor,0,,
britka/playwrightium,23,1,com.microsoft.playwright:playwright,1.41.2,1.42.0,minor,0,,
britka/playwrightium,12,1,com.microsoft.playwright:playwright,1.40.0,1.41.2,minor,0,,
OpenFeign/querydsl,371,1,com.microsoft.sqlserver:mssql-jdbc,12.6.1.jre8,12.7.0.jre8-preview,minor,0,,
OpenFeign/querydsl,312,1,com.microsoft.sqlserver:mssql-jdbc,12.6.0.jre8,12.6.1.jre8,patch,1,0,no_compile
OpenFeign/querydsl,280,1,com.microsoft.sqlserver:mssql-jdbc,12.5.0.jre8-preview,12.6.0.jre8,minor,0,,
OpenFeign/querydsl,112,1,com.microsoft.sqlserver:mssql-jdbc,12.4.2.jre8,12.5.0.jre8-preview,minor,0,,
OpenFeign/querydsl,105,1,com.microsoft.sqlserver:mssql-jdbc,11.2.1.jre8,12.4.2.jre8,major,0,,
devlive-community/datacap,675,1,com.microsoft.sqlserver:mssql-jdbc,11.2.1.jre8,12.6.0.jre8,major,0,,
awslabs/eventbridge-kafka-connector,141,1,com.mycila:license-maven-plugin,4.2,4.3,minor,1,,
OpenFeign/querydsl,37,1,com.mysema.maven:apt-maven-plugin,1.0.9,1.1.3,minor,1,,
alibaba/fastjson2,2088,1,com.networknt:json-schema-validator,1.0.87,1.0.88,patch,0,,
alibaba/fastjson2,1846,1,com.networknt:json-schema-validator,1.0.86,1.0.87,patch,1,,
devlive-community/datacap,445,1,com.oceanbase:oceanbase-client,2.4.2,2.4.5,patch,0,,
usdAG/FlowMate,15,1,com.opencsv:opencsv,5.2,5.9,minor,0,,
alibaba/fastjson2,2046,1,com.opencsv:opencsv,5.8,5.9,minor,0,,
alibaba/fastjson2,1683,1,com.opencsv:opencsv,5.7.1,5.8,minor,0,,
YehiaFarghaly/database-engine,119,1,com.opencsv:opencsv,5.8,5.9,minor,0,,
YehiaFarghaly/database-engine,100,1,com.opencsv:opencsv,5.7.1,5.8,minor,0,,
OpenFeign/querydsl,98,1,com.oracle.database.jdbc:ojdbc8,21.7.0.0,23.3.0.23.09,major,0,,
devlive-community/datacap,548,1,com.oracle.database.jdbc:ojdbc8,21.9.0.0,23.3.0.23.09,major,0,,
quarkiverse/quarkus-langchain4j,114,1,com.pgvector:pgvector,0.1.3,0.1.4,patch,0,,
michelin/kstreamplify,189,1,com.puppycrawl.tools:checkstyle,10.14.2,10.15.0,minor,0,,
michelin/kstreamplify,182,1,com.puppycrawl.tools:checkstyle,10.14.1,10.14.2,patch,1,1,
michelin/kstreamplify,180,1,com.puppycrawl.tools:checkstyle,10.14.0,10.14.1,patch,1,1,
michelin/kstreamplify,176,1,com.puppycrawl.tools:checkstyle,10.13.0,10.14.0,minor,0,,
michelin/kstreamplify,170,1,com.puppycrawl.tools:checkstyle,10.12.7,10.13.0,minor,0,,
michelin/kstreamplify,164,1,com.puppycrawl.tools:checkstyle,10.12.7,10.13.0,minor,0,,
michelin/kstreamplify,154,1,com.puppycrawl.tools:checkstyle,10.12.6,10.12.7,patch,1,1,
michelin/kstreamplify,147,1,com.puppycrawl.tools:checkstyle,10.12.5,10.12.6,patch,1,1,
michelin/kstreamplify,132,1,com.puppycrawl.tools:checkstyle,10.12.4,10.12.5,patch,0,,
michelin/kstreamplify,108,1,com.puppycrawl.tools:checkstyle,10.12.3,10.12.4,patch,0,,
michelin/kstreamplify,201,1,com.puppycrawl.tools:checkstyle,10.15.0,10.16.0,minor,1,0,
instancio/instancio,1002,1,com.puppycrawl.tools:checkstyle,10.15.0,10.16.0,minor,1,0,
instancio/instancio,981,1,com.puppycrawl.tools:checkstyle,10.14.2,10.15.0,minor,0,,
instancio/instancio,966,1,com.puppycrawl.tools:checkstyle,10.14.1,10.14.2,patch,1,1,
instancio/instancio,956,1,com.puppycrawl.tools:checkstyle,10.14.0,10.14.1,patch,1,1,
instancio/instancio,941,1,com.puppycrawl.tools:checkstyle,10.13.0,10.14.0,minor,0,,
instancio/instancio,891,1,com.puppycrawl.tools:checkstyle,10.12.7,10.13.0,minor,0,,
instancio/instancio,870,1,com.puppycrawl.tools:checkstyle,10.12.6,10.12.7,patch,1,1,
instancio/instancio,840,1,com.puppycrawl.tools:checkstyle,10.12.5,10.12.6,patch,1,1,
instancio/instancio,818,1,com.puppycrawl.tools:checkstyle,10.12.4,10.12.5,patch,0,,
instancio/instancio,766,1,com.puppycrawl.tools:checkstyle,10.12.3,10.12.4,patch,0,,
instancio/instancio,738,1,com.puppycrawl.tools:checkstyle,10.12.2,10.12.3,patch,0,,
camunda-community-hub/zeebe-clickhouse-exporter,63,1,com.puppycrawl.tools:checkstyle,10.12.1,10.12.3,patch,0,,
Jojoooo1/spring-boot-api,114,1,com.slack.api:slack-api-client,1.38.0,1.38.1,patch,1,1,
Jojoooo1/spring-boot-api,99,1,com.slack.api:slack-api-client,1.36.1,1.37.0,minor,0,,
Jojoooo1/spring-boot-api,65,1,com.slack.api:slack-api-client,1.35.1,1.36.0,minor,0,,
Jojoooo1/spring-boot-api,62,1,com.slack.api:slack-api-client,1.35.0,1.35.1,patch,1,1,
Jojoooo1/spring-boot-api,55,1,com.slack.api:slack-api-client,1.34.0,1.35.0,minor,1,1,
Jojoooo1/spring-boot-api,49,1,com.slack.api:slack-api-client,1.33.0,1.34.0,minor,0,,
Jojoooo1/spring-boot-api,47,1,com.slack.api:slack-api-client,1.32.2,1.33.0,minor,1,1,
Jojoooo1/spring-boot-api,45,1,com.slack.api:slack-api-client,1.32.1,1.32.2,patch,1,1,
awslabs/eventbridge-kafka-connector,259,1,com.spotify.fmt:fmt-maven-plugin,2.22.1,2.23,minor,0,,
awslabs/eventbridge-kafka-connector,219,1,com.spotify.fmt:fmt-maven-plugin,2.22,2.22.1,patch,1,1,
awslabs/eventbridge-kafka-connector,212,1,com.spotify.fmt:fmt-maven-plugin,2.21.1,2.22,minor,1,1,
awslabs/eventbridge-kafka-connector,136,1,com.spotify.fmt:fmt-maven-plugin,2.20,2.21.1,minor,1,1,
OpenFeign/querydsl,63,1,com.squareup:kotlinpoet,1.9.0,1.14.2,minor,0,,
OpenFeign/querydsl,258,1,com.squareup:kotlinpoet-jvm,1.15.3,1.16.0,minor,0,,
OpenFeign/querydsl,143,1,com.squareup:kotlinpoet-jvm,1.15.2,1.15.3,patch,1,0,no_maven
OpenFeign/querydsl,136,1,com.squareup:kotlinpoet-jvm,1.15.1,1.15.2,patch,1,0,no_maven
TFyre/bambu-farm,49,1,com.sun.xml.bind:jaxb-xjc,4.0.4,4.0.5,patch,1,,
TFyre/bambu-farm,22,1,com.sun.xml.bind:jaxb-xjc,4.0.2,4.0.4,patch,1,,
devlive-community/datacap,570,1,com.taosdata.jdbc:taos-jdbcdriver,3.0.0,3.2.7,minor,0,,
instancio/instancio,987,1,com.tngtech.archunit:archunit,1.2.1,1.3.0,minor,0,,
instancio/instancio,835,1,com.tngtech.archunit:archunit,1.2.0,1.2.1,patch,1,0,no_maven
instancio/instancio,802,1,com.tngtech.archunit:archunit,1.1.0,1.2.0,minor,0,,
instancio/instancio,707,1,com.tngtech.archunit:archunit,1.0.1,1.1.0,minor,0,,
jhipster/jhipster-lite,9520,1,com.tngtech.archunit:archunit-junit5-api,1.2.1,1.3.0,minor,1,0,no_maven
jhipster/jhipster-lite,9514,1,com.tngtech.archunit:archunit-junit5-api,1.2.1,1.3.0,minor,1,0,no_maven
jhipster/jhipster-lite,8253,1,com.tngtech.archunit:archunit-junit5-api,1.2.0,1.2.1,patch,1,0,no_maven
Swofty-Developments/HypixelSkyBlock,67,1,com.viaversion:viabackwards-common,4.10.0-24w05b-SNAPSHOT,4.10.0-24w06a-SNAPSHOT,patch,0,,NO_JAR
Swofty-Developments/HypixelSkyBlock,58,1,com.viaversion:viabackwards-common,4.10.0-24w04a-SNAPSHOT,4.10.0-24w05b-SNAPSHOT,patch,0,,NO_JAR
Swofty-Developments/HypixelSkyBlock,68,1,com.viaversion:viaversion,4.10.0-24w05b-SNAPSHOT,4.10.0-24w06a-SNAPSHOT,patch,0,,NO_JAR
Swofty-Developments/HypixelSkyBlock,57,1,com.viaversion:viaversion,4.10.0-24w04a-SNAPSHOT,4.10.0-24w05b-SNAPSHOT,patch,0,,NO_JAR
Swofty-Developments/HypixelSkyBlock,51,1,com.viaversion:viaversion,4.9.1,4.9.2,patch,0,,NO_JAR
awslabs/eventbridge-kafka-connector,240,1,commons-codec:commons-codec,1.16.0,1.16.1,patch,1,,
awslabs/eventbridge-kafka-connector,292,1,commons-codec:commons-codec,1.16.1,1.17.0,minor,1,,
MoshiCoCo/Apple-Monitor,28,1,commons-codec:commons-codec,1.15,1.16.0,minor,0,,
michelin/kstreamplify,192,1,commons-io:commons-io,2.16.0,2.16.1,patch,1,,
michelin/kstreamplify,190,1,commons-io:commons-io,2.15.1,2.16.0,minor,0,,
michelin/kstreamplify,145,1,commons-io:commons-io,2.15.0,2.15.1,patch,1,,
michelin/kstreamplify,117,1,commons-io:commons-io,2.14.0,2.15.0,minor,1,,
michelin/kstreamplify,109,1,commons-io:commons-io,2.13.0,2.14.0,minor,0,,
conduktor/conduktor-poc-kafka-protocol,93,1,commons-io:commons-io,2.13.0,2.14.0,minor,0,,
alibaba/fastjson2,2415,1,commons-io:commons-io,2.16.0,2.16.1,patch,1,,
alibaba/fastjson2,2382,1,commons-io:commons-io,2.15.1,2.16.0,minor,0,,
alibaba/fastjson2,2062,1,commons-io:commons-io,2.15.0,2.15.1,patch,1,,
alibaba/fastjson2,1967,1,commons-io:commons-io,2.14.0,2.15.0,minor,1,,
alibaba/fastjson2,1912,1,commons-io:commons-io,2.13.0,2.14.0,minor,0,,
jhipster/jhipster-lite,9484,1,commons-io:commons-io,2.16.0,2.16.1,patch,1,,
jhipster/jhipster-lite,9394,1,commons-io:commons-io,2.15.1,2.16.0,minor,0,,
cmu-db/benchbase,497,1,commons-io:commons-io,2.15.1,2.16.1,minor,0,,
gameyfin/gameyfin,288,1,commons-io:commons-io,2.15.1,2.16.1,minor,0,,
gameyfin/gameyfin,195,1,commons-io:commons-io,2.14.0,2.15.0,minor,1,,
gameyfin/gameyfin,185,1,commons-io:commons-io,2.11.0,2.14.0,minor,0,,
apache/maven-wrapper,124,1,commons-io:commons-io,2.16.0,2.16.1,patch,1,,
Sstudios-Dev/Betterpvp-2.0,13,1,commons-io:commons-io,2.15.1,2.16.0,minor,0,,
Sstudios-Dev/Betterpvp-2.0,5,1,commons-io:commons-io,2.11.0,2.15.1,minor,0,,
britka/playwrightium,39,1,commons-io:commons-io,2.16.0,2.16.1,patch,1,,
britka/playwrightium,33,1,commons-io:commons-io,2.15.1,2.16.0,minor,0,,
albilu/netbeansPython,69,1,commons-io:commons-io,2.13.0,2.14.0,minor,0,,
java-operator-sdk/jenvtest,169,1,commons-io:commons-io,2.16.0,2.16.1,patch,1,,
java-operator-sdk/jenvtest,167,1,commons-io:commons-io,2.15.0,2.16.0,minor,0,,
java-operator-sdk/jenvtest,130,1,commons-io:commons-io,2.13.0,2.15.0,minor,0,,
awslabs/eventbridge-kafka-connector,270,1,commons-logging:commons-logging,1.3.0,1.3.1,patch,0,,
awslabs/eventbridge-kafka-connector,181,1,commons-logging:commons-logging,1.2,1.3.0,minor,0,,
turkraft/springfilter,347,1,de.flapdoodle.embed:de.flapdoodle.embed.mongo.spring30x,4.9.3,4.11.0,minor,0,,
turkraft/springfilter,331,1,de.flapdoodle.embed:de.flapdoodle.embed.mongo.spring30x,4.9.2,4.9.3,patch,0,,
turkraft/springfilter,318,1,de.flapdoodle.embed:de.flapdoodle.embed.mongo.spring30x,4.6.2,4.9.2,minor,1,0,no_compile
bytemcnetzwerk/evelon,17,1,de.undercouch:bson4jackson,2.13.1,2.15.0,minor,0,,
GoogleCloudPlatform/jit-access,347,1,dev.cel:cel,0.4.0,0.4.1,patch,1,,
GoogleCloudPlatform/jit-access,323,1,dev.cel:cel,0.3.1,0.4.0,minor,0,,
GoogleCloudPlatform/jit-access,304,1,dev.cel:cel,0.3.0,0.3.1,patch,0,,
quarkiverse/quarkus-primefaces,153,1,dev.morphia.morphia:morphia-core,2.4.10,2.4.11,patch,0,,
quarkiverse/quarkus-primefaces,146,1,dev.morphia.morphia:morphia-core,2.4.9,2.4.10,patch,0,,
quarkiverse/quarkus-primefaces,141,1,dev.morphia.morphia:morphia-core,2.4.8,2.4.9,patch,1,0,no_test
quarkiverse/quarkus-primefaces,137,1,dev.morphia.morphia:morphia-core,2.4.7,2.4.8,patch,0,,
quarkiverse/quarkus-primefaces,130,1,dev.morphia.morphia:morphia-core,2.4.6,2.4.7,patch,0,,
quarkiverse/quarkus-primefaces,118,1,dev.morphia.morphia:morphia-core,2.4.5,2.4.6,patch,1,0,no_test
quarkiverse/quarkus-primefaces,114,1,dev.morphia.morphia:morphia-core,2.4.4,2.4.5,patch,0,,
quarkiverse/quarkus-primefaces,107,1,dev.morphia.morphia:morphia-core,2.4.3,2.4.4,patch,0,,
quarkiverse/quarkus-primefaces,106,1,dev.morphia.morphia:morphia-core,2.4.2,2.4.3,patch,0,,
quarkiverse/quarkus-primefaces,102,1,dev.morphia.morphia:morphia-core,2.4.1,2.4.2,patch,1,0,no_test
quarkiverse/quarkus-primefaces,96,1,dev.morphia.morphia:morphia-core,2.4.0,2.4.1,patch,1,0,no_test
quarkiverse/quarkus-primefaces,95,1,dev.morphia.morphia:morphia-core,2.3.6,2.4.0,minor,0,,
quarkiverse/quarkus-primefaces,94,1,dev.morphia.morphia:morphia-core,2.3.5,2.3.6,patch,1,0,no_test
jhipster/jhipster-lite,9759,1,eu.michael-simons.neo4j:neo4j-migrations,2.10.0,2.10.1,patch,1,0,no_compile
jhipster/jhipster-lite,9446,1,eu.michael-simons.neo4j:neo4j-migrations,2.9.3,2.10.0,minor,1,0,no_compile
jhipster/jhipster-lite,9279,1,eu.michael-simons.neo4j:neo4j-migrations,2.9.2,2.9.3,patch,1,0,no_compile
jhipster/jhipster-lite,9136,1,eu.michael-simons.neo4j:neo4j-migrations,2.9.1,2.9.2,patch,1,0,no_compile
jhipster/jhipster-lite,8954,1,eu.michael-simons.neo4j:neo4j-migrations,2.9.0,2.9.1,patch,1,0,no_compile
jhipster/jhipster-lite,8893,1,eu.michael-simons.neo4j:neo4j-migrations,2.8.2,2.9.0,minor,1,0,no_compile
jhipster/jhipster-lite,8586,1,eu.michael-simons.neo4j:neo4j-migrations,2.8.1,2.8.2,patch,1,0,no_compile
jhipster/jhipster-lite,8414,1,eu.michael-simons.neo4j:neo4j-migrations,2.8.0,2.8.1,patch,1,0,no_compile
jhipster/jhipster-lite,8338,1,eu.michael-simons.neo4j:neo4j-migrations,1.13.0,2.8.0,major,0,,
hantsy/jakartaee10-starter-boilerplate,77,1,fish.payara.distributions:payara,6.2024.4,6.2024.5,patch,0,,no_jar
hantsy/jakartaee10-starter-boilerplate,72,1,fish.payara.distributions:payara,6.2024.3,6.2024.4,patch,0,,no_jar
hantsy/jakartaee10-starter-boilerplate,64,1,fish.payara.distributions:payara,6.2023.4,6.2024.3,minor,0,,no_jar
hbelmiro/100DaysOfJava,131,1,info.picocli:picocli,4.7.5,4.7.6,patch,1,0,no_compile
hbelmiro/100DaysOfJava,55,1,info.picocli:picocli,4.7.4,4.7.5,patch,1,0,no_compile
OpenFeign/querydsl,370,1,io.asyncer:r2dbc-mysql,1.1.2,1.1.3,patch,0,,
OpenFeign/querydsl,321,1,io.asyncer:r2dbc-mysql,1.1.1,1.1.2,patch,0,,
michelin/kstreamplify,168,1,io.confluent:kafka-streams-avro-serde,7.5.3,7.6.0,minor,0,,NO_JAR
michelin/kstreamplify,153,1,io.confluent:kafka-streams-avro-serde,7.5.2,7.5.3,patch,0,,NO_JAR
michelin/kstreamplify,129,1,io.confluent:kafka-streams-avro-serde,7.5.1,7.5.2,patch,0,,NO_JAR
michelin/kstreamplify,111,1,io.confluent:kafka-streams-avro-serde,7.5.0,7.5.1,patch,0,,NO_JAR
michelin/kstreamplify,79,1,io.confluent:kafka-streams-avro-serde,7.4.1,7.5.0,minor,0,,NO_JAR
devlive-community/datacap,633,1,io.crate:crate-jdbc,2.6.0,2.7.0,minor,1,0,no_maven
apache/eventmesh-dashboard,113,1,io.etcd:jetcd-core,0.7.5,0.7.7,patch,0,,
jhipster/jhipster-lite,9434,1,io.fabric8:maven-model-helper,35,36,major,1,1,
jhipster/jhipster-lite,9203,1,io.fabric8:maven-model-helper,29,30,major,1,1,
OpenFeign/querydsl,366,1,io.github.classgraph:classgraph,4.8.168,4.8.170,patch,1,1,
OpenFeign/querydsl,330,1,io.github.classgraph:classgraph,4.8.165,4.8.168,patch,1,1,
OpenFeign/querydsl,203,1,io.github.classgraph:classgraph,4.8.164,4.8.165,patch,1,1,
OpenFeign/querydsl,113,1,io.github.classgraph:classgraph,4.8.164,4.8.165,patch,1,1,
OpenFeign/querydsl,80,1,io.github.classgraph:classgraph,4.8.108,4.8.164,patch,0,,
OpenFeign/querydsl,398,1,io.github.classgraph:classgraph,4.8.171,4.8.172,patch,1,1,
OpenFeign/querydsl,392,1,io.github.classgraph:classgraph,4.8.170,4.8.171,patch,1,1,
ApliNi/Chat2QQ,44,1,io.github.dreamvoid:MiraiMC-Integration,1.8.2,1.8.3,patch,1,0,no_test
ApliNi/Chat2QQ,42,1,io.github.dreamvoid:MiraiMC-Integration,1.8.1,1.8.2,patch,1,0,no_test
ApliNi/Chat2QQ,39,1,io.github.dreamvoid:MiraiMC-Integration,1.8-pre2,1.8.1,minor,1,0,no_test
ApliNi/Chat2QQ,31,1,io.github.dreamvoid:MiraiMC-Integration,1.8-rc2,1.8-pre2,minor,1,0,no_test
ApliNi/Chat2QQ,29,1,io.github.dreamvoid:MiraiMC-Integration,1.8-rc1,1.8-pre2,minor,1,0,no_test
awslabs/eventbridge-kafka-connector,269,1,io.github.git-commit-id:git-commit-id-maven-plugin,8.0.1,8.0.2,patch,1,1,
awslabs/eventbridge-kafka-connector,258,1,io.github.git-commit-id:git-commit-id-maven-plugin,7.0.0,8.0.1,major,0,,
alibaba/fastjson2,2352,1,io.github.git-commit-id:git-commit-id-maven-plugin,8.0.1,8.0.2,patch,1,1,
alibaba/fastjson2,2339,1,io.github.git-commit-id:git-commit-id-maven-plugin,8.0.0,8.0.1,patch,1,1,
alibaba/fastjson2,2292,1,io.github.git-commit-id:git-commit-id-maven-plugin,7.0.0,8.0.0,major,0,,
alibaba/fastjson2,1977,1,io.github.git-commit-id:git-commit-id-maven-plugin,6.0.0,7.0.0,major,1,1,
jhipster/jhipster-lite,9278,1,io.github.git-commit-id:git-commit-id-maven-plugin,8.0.1,8.0.2,patch,1,1,
jhipster/jhipster-lite,9272,1,io.github.git-commit-id:git-commit-id-maven-plugin,8.0.1,8.0.2,patch,1,1,
jhipster/jhipster-lite,9182,1,io.github.git-commit-id:git-commit-id-maven-plugin,8.0.0,8.0.1,patch,1,1,
