ga,version,repository,tag_name,tag_commit,err
com.codeborne:selenide-testng,7.2.1,selenide/selenide,v7.2.1,c25ee1418f48a7a0cc24347af453a148c5ca33c0,
com.codeborne:selenide-testng,7.2.2,selenide/selenide,v7.2.2,969f68b99d221aeac2ec657ef91a289e01dcd8bd,
com.codeborne:selenide-testng,7.2.3,selenide/selenide,v7.2.3,06852deb50acac637a24fccee94052116ee47ec8,
com.codeborne:selenide-testng,7.3.1,selenide/selenide,v7.3.1,a5d7dede601889b175d27b68ce070dee2e21ef3b,
com.ctrip.framework.apollo:apollo-openapi,2.1.0,apolloconfig/apollo-java,v2.1.0,f8d28868e5c300bca0161885a316cce3639bd342,
com.ctrip.framework.apollo:apollo-openapi,2.2.0,apolloconfig/apollo-java,v2.2.0,2c2b833dc4c68bdcb3da841d4d1436347d946677,
com.electronwill.night-config:core,3.6.6,TheElectronWill/night-config,v3.6.6,8d0cd781813535a528f245b63ec4bf3eccf07396,
com.electronwill.night-config:core,3.6.7,TheElectronWill/night-config,v3.6.7,da96a7762efd9086197a436a0aec75fe278c0560,
com.electronwill.night-config:toml,3.6.6,TheElectronWill/night-config,v3.6.6,8d0cd781813535a528f245b63ec4bf3eccf07396,
com.electronwill.night-config:toml,3.6.7,TheElectronWill/night-config,v3.6.7,da96a7762efd9086197a436a0aec75fe278c0560,
com.fasterxml.jackson.core:jackson-annotations,2.16.0,FasterXML/jackson-annotations,jackson-annotations-2.16.0,1cb67c16933f119694d25a6ead9a09e331d4f60e,
com.fasterxml.jackson.core:jackson-annotations,2.16.1,FasterXML/jackson-annotations,jackson-annotations-2.16.1,e1910b8b7bfda325d450a30f1a121b5cf75d819a,
com.fasterxml.jackson.core:jackson-annotations,2.16.2,FasterXML/jackson-annotations,jackson-annotations-2.16.2,6a2d806e4aec3e481ac8e78532c31fb4cbf29ad7,
com.fasterxml.jackson.core:jackson-annotations,2.17.0,FasterXML/jackson-annotations,jackson-annotations-2.17.0,12c936084e5dfc71522517609afae68398b678bc,
com.fasterxml.jackson.core:jackson-annotations,2.17.1,FasterXML/jackson-annotations,jackson-annotations-2.17.1,f783d72014cd68b0bba01ac9c3dcd4447a93a9b0,
com.fasterxml.jackson.core:jackson-core,2.16.0,FasterXML/jackson-core,jackson-core-2.16.0,2af46f18403d962d18121918c822d13224a3943c,
com.fasterxml.jackson.core:jackson-core,2.16.1,FasterXML/jackson-core,jackson-core-2.16.1,249716c8c2b141e4cab646f9d161fda0da97ae03,
com.fasterxml.jackson.core:jackson-core,2.16.2,FasterXML/jackson-core,jackson-core-2.16.2,4162dfc503bd97e6824b1d5baa6de7895d3b3367,
com.fasterxml.jackson.core:jackson-core,2.17.0,FasterXML/jackson-core,jackson-core-2.17.0,8fba680579885bf9cdae72e93f16de557056d6e3,
com.fasterxml.jackson.core:jackson-core,2.17.1,FasterXML/jackson-core,jackson-core-2.17.1,cba40f1c035dd72406d990c014c4b7477c4e621d,
com.fasterxml.jackson.core:jackson-databind,2.15.2,FasterXML/jackson-databind,jackson-databind-2.15.2,74a57b2f6cd3b6e0fe2a61ed16734f15ba2abc95,
com.fasterxml.jackson.core:jackson-databind,2.15.3,FasterXML/jackson-databind,jackson-databind-2.15.3,31dc75f082e225863d4e2f033f5df9a9daf062a9,
