gav,compatible_versions
ch.epfl.scala:bloop-backend_2.12:1.4.11-41-810654d1,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486', '1.4.11-41-810654d1']"
ch.epfl.scala:bloop-backend_2.12:1.4.12-4-b38916d2,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-19-93ebe2c6,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486', '1.4.11-41-810654d1', '1.4.11-38-053cdea7', '1.4.11-36-36888397', '1.4.11-34-9e5d2075', '1.4.11-32-df7ed99e', '1.4.11-30-75fb3441', '1.4.11-28-dd429fcb', '1.4.11-19-93ebe2c6']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-28-dd429fcb,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486', '1.4.11-41-810654d1', '1.4.11-38-053cdea7', '1.4.11-36-36888397', '1.4.11-34-9e5d2075', '1.4.11-32-df7ed99e', '1.4.11-30-75fb3441', '1.4.11-28-dd429fcb']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-30-75fb3441,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486', '1.4.11-41-810654d1', '1.4.11-38-053cdea7', '1.4.11-36-36888397', '1.4.11-34-9e5d2075', '1.4.11-32-df7ed99e', '1.4.11-30-75fb3441']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-32-df7ed99e,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486', '1.4.11-41-810654d1', '1.4.11-38-053cdea7', '1.4.11-36-36888397', '1.4.11-34-9e5d2075', '1.4.11-32-df7ed99e']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-34-9e5d2075,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486', '1.4.11-41-810654d1', '1.4.11-38-053cdea7', '1.4.11-36-36888397', '1.4.11-34-9e5d2075']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-36-36888397,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486', '1.4.11-41-810654d1', '1.4.11-38-053cdea7', '1.4.11-36-36888397']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-38-053cdea7,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486', '1.4.11-41-810654d1', '1.4.11-38-053cdea7']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-41-810654d1,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486', '1.4.11-41-810654d1']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-45-623bf486,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-47-b6175e43,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-49-5535314b,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-51-ac1d788a,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a']"
ch.epfl.scala:bloop-shared_2.12:1.4.11-53-ee093a60,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60']"
