gav,compatible_versions
ch.epfl.scala:bloop-shared_2.12:1.4.12,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12']"
ch.epfl.scala:bloop-shared_2.12:1.4.12-10-46c598d0,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0']"
ch.epfl.scala:bloop-shared_2.12:1.4.12-14-2cef762b,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b']"
ch.epfl.scala:bloop-shared_2.12:1.4.12-2-2721355b,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b']"
ch.epfl.scala:bloop-shared_2.12:1.4.12-4-b38916d2,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2']"
ch.epfl.scala:bloop-shared_2.12:1.4.12-6-1261d1aa,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa']"
ch.epfl.scala:bloop-shared_2.12:1.4.12-8-50cc7dc0,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0']"
io.github.alexarchambault.bleep:bloop-shared_2.12:1.4.13,"['1.4.19-1', '1.4.19', '1.4.18', '1.4.17', '1.4.16-1', '1.4.15', '1.4.14', '1.4.13']"
io.github.alexarchambault.bleep:bloop-shared_2.12:1.4.14,"['1.4.19-1', '1.4.19', '1.4.18', '1.4.17', '1.4.16-1', '1.4.15', '1.4.14']"
io.github.alexarchambault.bleep:bloop-shared_2.12:1.4.15,"['1.4.19-1', '1.4.19', '1.4.18', '1.4.17', '1.4.16-1', '1.4.15']"
io.github.alexarchambault.bleep:bloop-shared_2.12:1.4.16,"['1.4.19-1', '1.4.19', '1.4.18', '1.4.17', '1.4.16-1', '1.4.15', '1.4.14', '1.4.13', '1.4.12']"
io.github.alexarchambault.bleep:bloop-shared_2.12:1.4.16-1,"['1.4.19-1', '1.4.19', '1.4.18', '1.4.17', '1.4.16-1']"
io.github.alexarchambault.bleep:bloop-shared_2.12:1.4.17,"['1.4.19-1', '1.4.19', '1.4.18', '1.4.17']"
io.github.alexarchambault.bleep:bloop-shared_2.12:1.4.18,"['1.4.19-1', '1.4.19', '1.4.18']"
io.github.alexarchambault.bleep:bloop-shared_2.12:1.4.19,"['1.4.19-1', '1.4.19']"
it.unibo.alchemist:alchemist-swingui:12.1.2,"['24.1.12', '24.1.11', '24.1.10', '24.1.9', '24.1.8', '24.1.7', '24.1.6', '24.1.5', '24.1.4', '24.1.3', '24.1.2', '24.1.1', '24.1.0', '24.0.8', '24.0.7', '24.0.6', '24.0.5', '24.0.4', '24.0.3', '24.0.2', '24.0.1', '24.0.0', '23.0.0', '22.0.0', '21.0.8', '21.0.2', '21.0.1', '21.0.0', '20.0.1', '20.0.0', '19.2.0', '19.1.1', '19.1.0', '19.0.4', '19.0.3', '19.0.2', '19.0.1', '19.0.0', '18.0.3', '18.0.2', '18.0.1', '18.0.0', '17.0.7', '17.0.6', '17.0.5', '17.0.4', '17.0.3', '17.0.2', '17.0.1', '17.0.0', '16.0.0', '15.0.4', '15.0.3', '15.0.2', '15.0.1', '15.0.0', '14.1.0', '14.0.2', '14.0.1', '14.0.0', '13.0.6', '13.0.5', '13.0.4', '13.0.3', '13.0.2', '13.0.1', '13.0.0', '12.2.11', '12.2.10', '12.2.9', '12.2.8', '12.2.7', '12.2.6', '12.2.5', '12.2.3', '12.2.1', '12.2.0', '12.1.7', '12.1.6', '12.1.5', '12.1.4', '12.1.3', '12.1.2']"
it.unibo.alchemist:alchemist-swingui:14.0.0,"['24.1.12', '24.1.11', '24.1.10', '24.1.9', '24.1.8', '24.1.7', '24.1.6', '24.1.5', '24.1.4', '24.1.3', '24.1.2', '24.1.1', '24.1.0', '24.0.8', '24.0.7', '24.0.6', '24.0.5', '24.0.4', '24.0.3', '24.0.2', '24.0.1', '24.0.0', '23.0.0', '22.0.0', '21.0.8', '21.0.2', '21.0.1', '21.0.0', '20.0.1', '20.0.0', '19.2.0', '19.1.1', '19.1.0', '19.0.4', '19.0.3', '19.0.2', '19.0.1', '19.0.0', '18.0.3', '18.0.2', '18.0.1', '18.0.0', '17.0.7', '17.0.6', '17.0.5', '17.0.4', '17.0.3', '17.0.2', '17.0.1', '17.0.0', '16.0.0', '15.0.4', '15.0.3', '15.0.2', '15.0.1', '15.0.0', '14.1.0', '14.0.2', '14.0.1', '14.0.0']"
it.unibo.alchemist:alchemist-swingui:17.0.0,"['24.1.12', '24.1.11', '24.1.10', '24.1.9', '24.1.8', '24.1.7', '24.1.6', '24.1.5', '24.1.4', '24.1.3', '24.1.2', '24.1.1', '24.1.0', '24.0.8', '24.0.7', '24.0.6', '24.0.5', '24.0.4', '24.0.3', '24.0.2', '24.0.1', '24.0.0', '23.0.0', '22.0.0', '21.0.8', '21.0.2', '21.0.1', '21.0.0', '20.0.1', '20.0.0', '19.2.0', '19.1.1', '19.1.0', '19.0.4', '19.0.3', '19.0.2', '19.0.1', '19.0.0', '18.0.3', '18.0.2', '18.0.1', '18.0.0', '17.0.7', '17.0.6', '17.0.5', '17.0.4', '17.0.3', '17.0.2', '17.0.1', '17.0.0']"
it.unibo.alchemist:alchemist-swingui:17.0.2,"['24.1.12', '24.1.11', '24.1.10', '24.1.9', '24.1.8', '24.1.7', '24.1.6', '24.1.5', '24.1.4', '24.1.3', '24.1.2', '24.1.1', '24.1.0', '24.0.8', '24.0.7', '24.0.6', '24.0.5', '24.0.4', '24.0.3', '24.0.2', '24.0.1', '24.0.0', '23.0.0', '22.0.0', '21.0.8', '21.0.2', '21.0.1', '21.0.0', '20.0.1', '20.0.0', '19.2.0', '19.1.1', '19.1.0', '19.0.4', '19.0.3', '19.0.2', '19.0.1', '19.0.0', '18.0.3', '18.0.2', '18.0.1', '18.0.0', '17.0.7', '17.0.6', '17.0.5', '17.0.4', '17.0.3', '17.0.2']"
it.unibo.alchemist:alchemist-swingui:24.0.0,"['24.1.12', '24.1.11', '24.1.10', '24.1.9', '24.1.8', '24.1.7', '24.1.6', '24.1.5', '24.1.4', '24.1.3', '24.1.2', '24.1.1', '24.1.0', '24.0.8', '24.0.7', '24.0.6', '24.0.5', '24.0.4', '24.0.3', '24.0.2', '24.0.1', '24.0.0']"
it.unibo.alchemist:alchemist-swingui:24.0.2,"['24.1.12', '24.1.11', '24.1.10', '24.1.9', '24.1.8', '24.1.7', '24.1.6', '24.1.5', '24.1.4', '24.1.3', '24.1.2', '24.1.1', '24.1.0', '24.0.8', '24.0.7', '24.0.6', '24.0.5', '24.0.4', '24.0.3', '24.0.2']"
net.alchim31.maven:scala-maven-plugin:4.5.3,"['4.5.6', '4.5.4', '4.5.3']"
org.apache.seatunnel:seatunnel-core-spark:2.1.0,"['2.1.2', '2.1.1', '2.1.0']"
org.apache.seatunnel:seatunnel-core-spark:2.1.1,"['2.1.2', '2.1.1']"
org.daisy.pipeline.modules:epub-utils:1.2.1,"['1.2.4', '1.2.3', '1.2.2', '1.2.1']"
org.daisy.pipeline.modules:epub-utils:1.2.2,"['1.2.4', '1.2.3', '1.2.2']"
org.daisy.pipeline.modules:fileset-utils:3.1.0,"['5.2.0', '5.1.0', '5.0.0', '4.0.0', '3.1.0']"
org.daisy.pipeline.modules:fileset-utils:4.0.0,"['5.2.0', '5.1.0', '5.0.0', '4.0.0']"
org.daisy.pipeline:modules-registry:4.0.1,"['4.1.0', '4.0.1']"
org.dashbuilder:dashbuilder-server-all:7.65.0.Final,"['7.68.0.Final', '7.67.0.Final', '7.66.0.Final', '7.65.0.Final']"
org.dashbuilder:dashbuilder-server-all:7.66.0.Final,"['7.68.0.Final', '7.67.0.Final', '7.66.0.Final']"
org.flowable:flowable-ui-modeler-conf:6.4.2,"['6.7.2', '6.7.1', '6.7.0', '6.6.0', '6.5.0', '6.4.2']"
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl:9.10.3,"['9.16.2', '9.16.1', '9.16.0', '9.15.5', '9.15.4', '9.15.3', '9.15.2', '9.15.1', '9.15.0', '9.14.9', '9.14.8', '9.14.7', '9.14.6', '9.14.5', '9.14.4', '9.14.3', '9.14.2', '9.14.1', '9.14.0', '9.13.0', '9.12.5', '9.12.4', '9.12.3', '9.12.2', '9.12.1', '9.12.0', '9.11.0', '9.10.4', '9.10.3']"
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl:9.14.3,"['9.16.2', '9.16.1', '9.16.0', '9.15.5', '9.15.4', '9.15.3', '9.15.2', '9.15.1', '9.15.0', '9.14.9', '9.14.8', '9.14.7', '9.14.6', '9.14.5', '9.14.4', '9.14.3']"
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl:9.2.0,"['9.16.2', '9.16.1', '9.16.0', '9.15.5', '9.15.4', '9.15.3', '9.15.2', '9.15.1', '9.15.0', '9.14.9', '9.14.8', '9.14.7', '9.14.6', '9.14.5', '9.14.4', '9.14.3', '9.14.2', '9.14.1', '9.14.0', '9.13.0', '9.12.5', '9.12.4', '9.12.3', '9.12.2', '9.12.1', '9.12.0', '9.11.0', '9.10.4', '9.10.3', '9.10.1', '9.10.0', '9.9.1', '9.9.0', '9.8.0', '9.7.7', '9.7.6', '9.7.5', '9.7.4', '9.7.3', '9.7.2', '9.7.1', '9.7.0', '9.6.3', '9.6.2', '9.6.1', '9.6.0', '9.5.8', '9.5.7', '9.5.6', '9.5.5', '9.5.4', '9.5.3', '9.5.2', '9.5.1', '9.5.0', '9.4.2', '9.4.1', '9.4.0', '9.3.0', '9.2.73', '9.2.72', '9.2.71', '9.2.70', '9.2.69', '9.2.68', '9.2.67', '9.2.66', '9.2.65', '9.2.64', '9.2.63', '9.2.62', '9.2.61', '9.2.60', '9.2.59', '9.2.58', '9.2.57', '9.2.56', '9.2.55', '9.2.54', '9.2.53', '9.2.52', '9.2.51', '9.2.50', '9.2.49', '9.2.48', '9.2.47', '9.2.46', '9.2.45', '9.2.44', '9.2.43', '9.2.42', '9.2.41', '9.2.40', '9.2.39', '9.2.38', '9.2.37', '9.2.36', '9.2.35', '9.2.34', '9.2.33', '9.2.32', '9.2.31', '9.2.30', '9.2.29', '9.2.28', '9.2.27', '9.2.26', '9.2.25', '9.2.24.1', '9.2.24', '9.2.23', '9.2.22', '9.2.21', '9.2.20', '9.2.19', '9.2.18', '9.2.17', '9.2.16', '9.2.15', '9.2.14', '9.2.13', '9.2.12', '9.2.11', '9.2.10', '9.2.9', '9.2.8', '9.2.7', '9.2.6', '9.2.5.1', '9.2.5', '9.2.4', '9.2.3', '9.2.2', '9.2.1', '9.2.0']"
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl:9.2.49,"['9.16.2', '9.16.1', '9.16.0', '9.15.5', '9.15.4', '9.15.3', '9.15.2', '9.15.1', '9.15.0', '9.14.9', '9.14.8', '9.14.7', '9.14.6', '9.14.5', '9.14.4', '9.14.3', '9.14.2', '9.14.1', '9.14.0', '9.13.0', '9.12.5', '9.12.4', '9.12.3', '9.12.2', '9.12.1', '9.12.0', '9.11.0', '9.10.4', '9.10.3', '9.10.1', '9.10.0', '9.9.1', '9.9.0', '9.8.0', '9.7.7', '9.7.6', '9.7.5', '9.7.4', '9.7.3', '9.7.2', '9.7.1', '9.7.0', '9.6.3', '9.6.2', '9.6.1', '9.6.0', '9.5.8', '9.5.7', '9.5.6', '9.5.5', '9.5.4', '9.5.3', '9.5.2', '9.5.1', '9.5.0', '9.4.2', '9.4.1', '9.4.0', '9.3.0', '9.2.73', '9.2.72', '9.2.71', '9.2.70', '9.2.69', '9.2.68', '9.2.67', '9.2.66', '9.2.65', '9.2.64', '9.2.63', '9.2.62', '9.2.61', '9.2.60', '9.2.59', '9.2.58', '9.2.57', '9.2.56', '9.2.55', '9.2.54', '9.2.53', '9.2.52', '9.2.51', '9.2.50', '9.2.49']"
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl:9.2.51,"['9.16.2', '9.16.1', '9.16.0', '9.15.5', '9.15.4', '9.15.3', '9.15.2', '9.15.1', '9.15.0', '9.14.9', '9.14.8', '9.14.7', '9.14.6', '9.14.5', '9.14.4', '9.14.3', '9.14.2', '9.14.1', '9.14.0', '9.13.0', '9.12.5', '9.12.4', '9.12.3', '9.12.2', '9.12.1', '9.12.0', '9.11.0', '9.10.4', '9.10.3', '9.10.1', '9.10.0', '9.9.1', '9.9.0', '9.8.0', '9.7.7', '9.7.6', '9.7.5', '9.7.4', '9.7.3', '9.7.2', '9.7.1', '9.7.0', '9.6.3', '9.6.2', '9.6.1', '9.6.0', '9.5.8', '9.5.7', '9.5.6', '9.5.5', '9.5.4', '9.5.3', '9.5.2', '9.5.1', '9.5.0', '9.4.2', '9.4.1', '9.4.0', '9.3.0', '9.2.73', '9.2.72', '9.2.71', '9.2.70', '9.2.69', '9.2.68', '9.2.67', '9.2.66', '9.2.65', '9.2.64', '9.2.63', '9.2.62', '9.2.61', '9.2.60', '9.2.59', '9.2.58', '9.2.57', '9.2.56', '9.2.55', '9.2.54', '9.2.53', '9.2.52', '9.2.51']"
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.impl:9.2.70,"['9.16.2', '9.16.1', '9.16.0', '9.15.5', '9.15.4', '9.15.3', '9.15.2', '9.15.1', '9.15.0', '9.14.9', '9.14.8', '9.14.7', '9.14.6', '9.14.5', '9.14.4', '9.14.3', '9.14.2', '9.14.1', '9.14.0', '9.13.0', '9.12.5', '9.12.4', '9.12.3', '9.12.2', '9.12.1', '9.12.0', '9.11.0', '9.10.4', '9.10.3', '9.10.1', '9.10.0', '9.9.1', '9.9.0', '9.8.0', '9.7.7', '9.7.6', '9.7.5', '9.7.4', '9.7.3', '9.7.2', '9.7.1', '9.7.0', '9.6.3', '9.6.2', '9.6.1', '9.6.0', '9.5.8', '9.5.7', '9.5.6', '9.5.5', '9.5.4', '9.5.3', '9.5.2', '9.5.1', '9.5.0', '9.4.2', '9.4.1', '9.4.0', '9.3.0', '9.2.73', '9.2.72', '9.2.71', '9.2.70']"
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:9.2.60,"['9.22.84', '9.22.83', '9.22.82', '9.22.81', '9.22.80', '9.22.79', '9.22.78', '9.22.77', '9.22.76', '9.22.75', '9.22.74', '9.22.73', '9.22.72', '9.22.71', '9.22.70', '9.22.69', '9.22.68', '9.22.67', '9.22.66', '9.22.65', '9.22.64', '9.22.63', '9.22.62', '9.22.61', '9.22.59', '9.22.58', '9.22.57', '9.22.56', '9.22.55', '9.22.54', '9.22.53', '9.22.52', '9.22.51', '9.22.50.7', '9.22.50.6', '9.22.50.5', '9.22.50.4', '9.22.50.3', '9.22.50.2', '9.22.50', '9.22.49', '9.22.48', '9.22.47', '9.22.46', '9.22.45', '9.22.44', '9.22.43', '9.22.42', '9.22.41', '9.22.40', '9.22.39', '9.22.38', '9.22.37', '9.22.36', '9.22.35', '9.22.34', '9.22.33', '9.22.32', '9.22.31', '9.22.30', '9.22.29', '9.22.28', '9.22.27', '9.22.26', '9.22.25', '9.22.24', '9.22.23', '9.22.22', '9.22.21', '9.22.20', '9.22.19', '9.22.18', '9.22.17', '9.22.16', '9.22.15', '9.22.14', '9.22.13', '9.22.12', '9.22.11', '9.22.10', '9.22.9', '9.22.8', '9.22.7', '9.22.6', '9.22.5', '9.22.4', '9.22.3', '9.22.2', '9.22.0', '9.21.10', '9.21.9', '9.21.8', '9.21.7', '9.21.6', '9.21.5', '9.21.4', '9.21.3', '9.21.2', '9.21.1', '9.21.0', '9.20.88', '9.20.87', '9.20.86', '9.20.85', '9.20.84', '9.20.83', '9.20.82', '9.20.81', '9.20.80', '9.20.79', '9.20.78', '9.20.77', '9.20.76', '9.20.75', '9.20.74', '9.20.73', '9.20.72', '9.20.71', '9.20.70', '9.20.69', '9.20.68', '9.20.67', '9.20.66', '9.20.65', '9.20.64', '9.20.63', '9.20.61', '9.20.60', '9.20.59', '9.20.58', '9.20.57', '9.20.56', '9.20.55', '9.20.54', '9.20.53', '9.20.52', '9.20.51', '9.20.50', '9.20.49', '9.20.48', '9.20.47', '9.20.46', '9.20.45', '9.20.44', '9.20.43', '9.20.42', '9.20.41', '9.20.40', '9.20.39', '9.20.38', '9.20.37', '9.20.36', '9.20.35', '9.20.34', '9.20.33', '9.20.32', '9.20.31', '9.20.30', '9.20.29', '9.20.28', '9.20.27', '9.20.26', '9.20.25', '9.20.24', '9.20.23', '9.20.22', '9.20.21', '9.20.20', '9.20.19', '9.20.18', '9.20.17', '9.20.16', '9.20.15', '9.20.14', '9.20.13', '9.20.12', '9.20.11', '9.20.10', '9.20.9', '9.20.8', '9.20.7', '9.20.6', '9.20.5', '9.20.4', '9.20.3', '9.20.2', '9.20.1', '9.20.0', '9.19.2', '9.19.1', '9.19.0', '9.18.25', '9.18.24', '9.18.23', '9.18.22', '9.18.21', '9.18.20', '9.18.19', '9.18.18', '9.18.17', '9.18.16', '9.18.15', '9.18.14', '9.18.13', '9.18.12', '9.18.11', '9.18.10', '9.18.9', '9.18.8', '9.18.7', '9.18.6', '9.18.5', '9.18.4', '9.18.3', '9.18.2', '9.18.1', '9.18.0', '9.17.2', '9.17.1', '9.17.0', '9.16.5', '9.16.4', '9.16.3', '9.16.2', '9.16.1', '9.16.0', '9.15.5', '9.15.4', '9.15.3', '9.15.2', '9.15.1', '9.15.0', '9.14.9', '9.14.8', '9.14.7', '9.14.6', '9.14.5', '9.14.4', '9.14.3', '9.14.2', '9.14.1', '9.14.0', '9.13.0', '9.12.5', '9.12.4', '9.12.3', '9.12.2', '9.12.1', '9.12.0', '9.11.0', '9.10.4', '9.10.3', '9.10.1', '9.10.0', '9.9.1', '9.9.0', '9.8.0', '9.7.7', '9.7.6', '9.7.5', '9.7.4', '9.7.3', '9.7.2', '9.7.1', '9.7.0', '9.6.3', '9.6.2', '9.6.1', '9.6.0', '9.5.8', '9.5.7', '9.5.6', '9.5.5', '9.5.4', '9.5.3', '9.5.2', '9.5.1', '9.5.0', '9.4.2', '9.4.1', '9.4.0', '9.3.0', '9.2.73', '9.2.72', '9.2.71', '9.2.70', '9.2.69', '9.2.68', '9.2.67', '9.2.66', '9.2.65', '9.2.64', '9.2.63', '9.2.62', '9.2.61', '9.2.60']"
