gav,compatible_versions
ch.epfl.scala:bloop-frontend_2.12:1.4.11,"['1.4.12-16-373bc94e', '1.4.12-14-2cef762b', '1.4.12-10-46c598d0', '1.4.12-8-50cc7dc0', '1.4.12-6-1261d1aa', '1.4.12-4-b38916d2', '1.4.12-2-2721355b', '1.4.12', '1.4.11-53-ee093a60', '1.4.11-51-ac1d788a', '1.4.11-49-5535314b', '1.4.11-47-b6175e43', '1.4.11-45-623bf486', '1.4.11-41-810654d1', '1.4.11-38-053cdea7', '1.4.11-36-36888397', '1.4.11-34-9e5d2075', '1.4.11-32-df7ed99e', '1.4.11-30-75fb3441', '1.4.11-28-dd429fcb', '1.4.11-19-93ebe2c6', '1.4.11-17-f4ef8273', '1.4.11-13-95157dbf', '1.4.11-11-d1e85e0b', '1.4.11-9-827a32e7', '1.4.11-7-ffffbb2f', '1.4.11-5-c84c34d7', '1.4.11-3-4318252d', '1.4.11-1-01ae12f6', '1.4.11']"
com.innovenso.townplanner:innovenso-townplanner-io:3.0.1,"['3.0.2', '3.0.1']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.core:1.0.66,"['1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74', '1.0.73', '1.0.72', '1.0.71', '1.0.70', '1.0.69', '1.0.68', '1.0.67', '1.0.66']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.oauth:1.0.74,"['1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.66,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74', '1.0.73', '1.0.72', '1.0.71', '1.0.70', '1.0.69', '1.0.68', '1.0.67', '1.0.66']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.67,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74', '1.0.73', '1.0.72', '1.0.71', '1.0.70', '1.0.69', '1.0.68', '1.0.67']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.68,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74', '1.0.73', '1.0.72', '1.0.71', '1.0.70', '1.0.69', '1.0.68']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.69,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74', '1.0.73', '1.0.72', '1.0.71', '1.0.70', '1.0.69']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.70,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74', '1.0.73', '1.0.72', '1.0.71', '1.0.70']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.71,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74', '1.0.73', '1.0.72', '1.0.71']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.72,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74', '1.0.73', '1.0.72']"
