gav,compatible_versions
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.73,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74', '1.0.73']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.74,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75', '1.0.74']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.75,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82', '1.0.81', '1.0.80', '1.0.79', '1.0.78', '1.0.77', '1.0.76', '1.0.75']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.82,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84', '1.0.83', '1.0.82']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.84,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85', '1.0.84']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.85,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86', '1.0.85']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.86,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87', '1.0.86']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.87,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88', '1.0.87']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.88,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89', '1.0.88']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.89,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91', '1.0.90', '1.0.89']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.91,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92', '1.0.91']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.92,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93', '1.0.92']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.93,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94', '1.0.93']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.94,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95', '1.0.94']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.95,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96', '1.0.95']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.96,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98', '1.0.97', '1.0.96']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.98,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99', '1.0.98']"
org.wso2.am.choreo.extensions:org.wso2.am.choreo.extensions.token.handler:1.0.99,"['1.1.43', '1.1.42', '1.1.41', '1.1.40', '1.1.39', '1.1.38', '1.1.37', '1.1.36', '1.1.35', '1.1.34', '1.1.33', '1.1.32', '1.1.31', '1.1.30', '1.1.29', '1.1.28', '1.1.27', '1.1.26', '1.1.25', '1.1.24', '1.1.23', '1.1.22', '1.1.21', '1.1.20', '1.1.19', '1.1.18', '1.1.17', '1.1.16', '1.1.15', '1.1.14', '1.1.13', '1.1.12', '1.1.11', '1.1.10', '1.1.9', '1.1.8', '1.1.7', '1.1.6', '1.1.5', '1.1.4.4', '1.1.4.3', '1.1.4.2', '1.1.4.1', '1.1.4', '1.1.3', '1.1.2', '1.1.1', '1.1.0', '1.0.99']"
