ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,err
net.bytebuddy:byte-buddy-parent,1.14.10,raphw/byte-buddy,byte-buddy-1.14.10,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.14.4,raphw/byte-buddy,byte-buddy-1.14.4,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.14.9,raphw/byte-buddy,byte-buddy-1.14.9,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.14.1,raphw/byte-buddy,byte-buddy-1.14.1,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.12.20,raphw/byte-buddy,byte-buddy-1.12.20,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.14.7,raphw/byte-buddy,byte-buddy-1.14.7,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.12.13,raphw/byte-buddy,byte-buddy-1.12.13,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.14.0,raphw/byte-buddy,byte-buddy-1.14.0,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.12.21,raphw/byte-buddy,byte-buddy-1.12.21,,,,,,no_github_link
net.bytebuddy:byte-buddy-parent,1.14.6,raphw/byte-buddy,byte-buddy-1.14.6,,,,,,no_github_link
net.revelc.code:impsort-maven-plugin,1.8.0,revelc/${artifactId},impsort-maven-plugin-1.8.0,revelc/impsort-maven-plugin,impsort-maven-plugin-1.8.0,7b48f74ad91bcefa920e7c040e0dee18c7dc08a0,True,True,
net.revelc.code:impsort-maven-plugin,1.7.0,revelc/${artifactId},impsort-maven-plugin-1.7.0,revelc/impsort-maven-plugin,impsort-maven-plugin-1.7.0,cfccbe14cb966d1d22ed27608e421da12bd27a1e,True,True,
net.revelc.code:impsort-maven-plugin,1.9.0,revelc/${artifactId},impsort-maven-plugin-1.9.0,revelc/impsort-maven-plugin,impsort-maven-plugin-1.9.0,0892976d0427b4c3584fab34687d419adc4fb857,True,True,
net.sourceforge.pmd:pmd,6.24.0,pmd/${artifactId},pmd_releases/6.24.0,pmd/pmd,pmd_releases/6.24.0,229cb2bdca158798ac1c554288c679afb787a283,True,True,
net.sourceforge.pmd:pmd,6.54.0,pmd/${artifactId},pmd_releases/6.54.0,pmd/pmd,pmd_releases/6.54.0,de1b12b06026df65d4460139c16e8938359d9be2,True,True,
net.sourceforge.pmd:pmd,6.48.0,pmd/${artifactId},pmd_releases/6.48.0,pmd/pmd,pmd_releases/6.48.0,6aa2b47f2ed64c2971dd86a44bb4fb62456e728c,True,True,
net.sourceforge.pmd:pmd,6.38.0,pmd/${artifactId},pmd_releases/6.38.0,pmd/pmd,pmd_releases/6.38.0,7d11a020521d587cf4631c44512464ad1f4e83cb,True,True,
net.sourceforge.pmd:pmd,6.31.0,pmd/${artifactId},pmd_releases/6.31.0,pmd/pmd,pmd_releases/6.31.0,7d6e6239c5f80061d61f0c6883ca5a87bf65c0c1,True,True,
net.sourceforge.pmd:pmd,6.41.0,pmd/${artifactId},pmd_releases/6.41.0,pmd/pmd,pmd_releases/6.41.0,ac68de1f51650e8dd16400b84c9345a24ac6f2eb,True,True,
net.sourceforge.pmd:pmd,6.28.0,pmd/${artifactId},pmd_releases/6.28.0,pmd/pmd,pmd_releases/6.28.0,722f3ca997490dc4391b01ab594fc4c4eef98040,True,True,
net.sourceforge.pmd:pmd,6.44.0,pmd/${artifactId},pmd_releases/6.44.0,pmd/pmd,pmd_releases/6.44.0,6859f8db364f2836920c05ce7c2e6cf6e7476df2,True,True,
net.sourceforge.pmd:pmd,6.34.0,pmd/${artifactId},pmd_releases/6.34.0,pmd/pmd,pmd_releases/6.34.0,bfeaa1b3773c1ac15d3aabdf5970b0e9f26b47ad,True,True,
net.sourceforge.pmd:pmd,6.51.0,pmd/${artifactId},pmd_releases/6.51.0,pmd/pmd,pmd_releases/6.51.0,66e834049fe04b5586a75bc80ea0f4627601f5aa,True,True,
net.sourceforge.pmd:pmd-build-tools-config,22,pmd/build-tools,22,pmd/build-tools,22,794bc24266d7b0a248cca2d8cdb66b2791ca8011,True,True,
net.sourceforge.pmd:pmd-build-tools-config,21,pmd/build-tools,21,pmd/build-tools,21,db395c73327fa67996f86261a24f048da77d3513,True,True,
net.sourceforge.pmd:pmd-build-tools-config,19,pmd/build-tools,19,pmd/build-tools,19,dd7a886d2a7163aaea98b596f5b30a04a4a0ca6c,True,True,
net.sourceforge.pmd:pmd-build-tools-config,20,pmd/build-tools,20,pmd/build-tools,20,cc331fadff692602caedd70b41ba22d102c437fd,True,True,
net.sourceforge.pmd:pmd-build-tools-config,18,pmd/build-tools,18,pmd/build-tools,18,95c15298a7b0e7f64766a1ba167858f03b2b8024,True,True,
net.sourceforge.pmd:pmd,6.52.0,pmd/${artifactId},pmd_releases/6.52.0,pmd/pmd,pmd_releases/6.52.0,e90bf0f11b5458593358f6b36f88815218b5c9f7,True,True,
net.sourceforge.pmd:pmd,6.47.0,pmd/${artifactId},pmd_releases/6.47.0,pmd/pmd,pmd_releases/6.47.0,07eb3d2d8081d787c60abdfe74c46af24772a3ce,True,True,
net.sourceforge.pmd:pmd,6.37.0,pmd/${artifactId},pmd_releases/6.37.0,pmd/pmd,pmd_releases/6.37.0,18df47ce6eaa0f692f92da004d84deb3c20b50b7,True,True,
net.sourceforge.pmd:pmd,6.32.0,pmd/${artifactId},pmd_releases/6.32.0,pmd/pmd,pmd_releases/6.32.0,0848e230d04cccb343f2c2c0800be196f9cfdbef,True,True,
