ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
io.wcm:io.wcm.parent_toplevel,2.0.2,wcm-io/io.wcm.parent_toplevel,2.0.2,wcm-io/wcm-io-tooling,,,,,False,no_github_tag,
io.wcm:io.wcm.parent_toplevel,1.6.8,wcm-io/io.wcm.parent_toplevel,1.6.8,wcm-io/wcm-io-tooling,,,,,False,no_github_tag,
io.wcm:io.wcm.parent_toplevel,2.1.0,wcm-io/io.wcm.parent_toplevel,2.1.0,wcm-io/wcm-io-tooling,,,,,False,no_github_tag,
io.wcm.maven.plugins:nodejs-maven-plugin,3.0.4,wcm-io/nodejs-maven-plugin,3.0.4,wcm-io/wcm-io-tooling,,,,,False,no_github_tag,
io.wcm.maven.plugins:nodejs-maven-plugin,3.0.2,wcm-io/wcm-io-tooling,nodejs-maven-plugin-3.0.2,wcm-io/wcm-io-tooling,,,,,False,no_github_tag,
nl.hsac:hsac-fitnesse-fixtures,5.2.43,fhoeben/hsac-fitnesse-fixtures,5.2.43,fhoeben/hsac-fitnesse-fixtures,,,,,False,no_github_tag,
nl.hsac:hsac-fitnesse-fixtures,5.2.21,fhoeben/hsac-fitnesse-fixtures,5.2.21,fhoeben/hsac-fitnesse-fixtures,,,,,False,no_github_tag,
com.flowlogix:flowlogix,8.0-M1,flowlogix/flowlogix,Version-8.0-M1,flowlogix/flowlogix,,,,,False,no_github_tag,
com.spotify:github-client,0.2.10,spotify/github-java-client,v0.2.10,spotify/github-java-client,,,,,False,no_github_tag,
com.vladsch.flexmark:flexmark-java,0.64.8,vsch/flexmark-java,cc3a2f59ba6e532833f4805f8134b4dc966ff837,vsch/flexmark-java,,,,,False,no_github_tag,
com.cognite.units:units-catalog,0.1.3,cognitedata/units-catalog,82de84ceeabf669dd50e067a7c5dfdbb117b4630,cognitedata/units-catalog,,,,,False,no_github_tag,
com.io7m.zelador:com.io7m.zelador,0.0.1,io7m/zelador,33c7f9c0fcd2b0c732f052db3a993a2dfabfbc87,io7m-com/zelador,,,,,False,no_github_tag,
