ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
com.io7m.jdeferthrow:com.io7m.jdeferthrow,1.1.0,io7m/jdeferthrow,dd672fcb915ade8b9926253b1ef0d40362749f75,io7m-com/jdeferthrow,com.io7m.jdeferthrow-1.1.0,9e425ba242c095931e791b21e260ff061d5295cd,True,True,False,,CAT1_FAIL
com.io7m.gtyrell:com.io7m.gtyrell,3.1.0,io7m/gtyrell,895799b,io7m-com/gtyrell,com.io7m.gtyrell-3.1.0,984f5ac664c5300166bef19c6991f2d8e6d06f5f,True,True,False,,CAT1_FAIL
com.io7m.jorchard:com.io7m.jorchard,2.0.0,io7m/jorchard,07dbadf55c5856f086483ee29c206d276c46d97e,io7m-com/jorchard,com.io7m.jorchard-2.0.0,8f890a6671f6bda0210ce3e7e92ecebd0d5309c1,True,True,False,,CAT1_FAIL
com.io7m.jbssio:com.io7m.jbssio,1.0.0,io7m/jbssio,1a1ddec108bf1864ec81191500eb03468d6b00d3,io7m-com/jbssio,com.io7m.jbssio-1.0.0,cbb651bbbbe98ffdf9d02231d3204de4242ac2be,True,True,False,,CAT1_FAIL
com.io7m.jbssio:com.io7m.jbssio,0.0.3,io7m/jbssio,30203fc94fb3c264b1c51b2b49234be04558cc88,io7m-com/jbssio,com.io7m.jbssio-0.0.3,54963518cfe8492f0dd481cf9abf10e999be34d1,True,True,False,,CAT1_FAIL
com.io7m.jbssio:com.io7m.jbssio,1.0.1,io7m/jbssio,1f023bdeb1a998d315fe7eff60d363a751eaec2c,io7m-com/jbssio,com.io7m.jbssio-1.0.1,bb82c56a21b0e64c1120a325a0efd5c6ebf78bd8,True,True,False,,CAT1_FAIL
com.io7m.jbssio:com.io7m.jbssio,0.0.2,io7m/jbssio,824d149288c67cd01c1dfe2d914a915c600e709a,io7m-com/jbssio,com.io7m.jbssio-0.0.2,46c859a6255ab0e26773b5360a05e8497a0ecda6,True,True,False,,CAT1_FAIL
com.io7m.jbssio:com.io7m.jbssio,1.0.2,io7m/jbssio,3726e6549cd63af1c2ba88a79c65793bc2b15b33,io7m-com/jbssio,com.io7m.jbssio-1.0.2,9b00a536f2c0093abee3979abff8a0574ff03772,True,True,False,,CAT1_FAIL
com.io7m.jbssio:com.io7m.jbssio,1.1.0,io7m/jbssio,2fcd011cdf6b066345066915b042558f8eb32c12,io7m-com/jbssio,com.io7m.jbssio-1.1.0,4c6702582cd6bc840ffcbcb2ca818a6b01785353,True,True,False,,CAT1_FAIL
com.io7m.jproperties:com.io7m.jproperties,3.1.0,io7m/jproperties,ab485925b5a9f3b9eec5f58c6b856d5218c210f7,io7m-com/jproperties,com.io7m.jproperties-3.1.0,afd0a669d33af35c941e4d4eb53734cd5c62816f,True,True,False,,CAT1_FAIL
