ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
com.io7m.trasco:com.io7m.trasco,0.0.2,io7m/trasco,com.io7m.trasco-0.0.2,io7m-com/trasco,com.io7m.trasco-0.0.2,d846afdcab771f21196b119bef14d67771d1728b,True,True,False,,
com.io7m.trasco:com.io7m.trasco,1.0.0-beta0002,io7m/trasco,com.io7m.trasco-1.0.0-beta0002,io7m-com/trasco,com.io7m.trasco-1.0.0-beta0002,7f5b4a6acf6e55915fdb984a664e3f9b07449c10,True,True,False,,
com.io7m.trasco:com.io7m.trasco,0.0.4,io7m/trasco,com.io7m.trasco-0.0.4,io7m-com/trasco,com.io7m.trasco-0.0.4,909d3dd8f9cc4ff587a8acb6585f457f99e54725,True,True,False,,
com.io7m.trasco:com.io7m.trasco,0.0.1,io7m/trasco,com.io7m.trasco-0.0.1,io7m-com/trasco,com.io7m.trasco-0.0.1,222dd9c05d0c49e4b8fcc5ac5a1bc54cb6748dac,True,True,False,,
com.io7m.trasco:com.io7m.trasco,1.0.0-beta0001,io7m/trasco,com.io7m.trasco-1.0.0-beta0001,io7m-com/trasco,com.io7m.trasco-1.0.0-beta0001,cce7b4daa73e866205c2c154be012fd72dd42cf4,True,True,False,,
com.io7m.trasco:com.io7m.trasco,1.1.0,io7m/trasco,com.io7m.trasco-1.1.0,io7m-com/trasco,com.io7m.trasco-1.1.0,129428b4afbb48e34f6ee7520cf4527b7bf804f1,True,True,False,,
com.io7m.trasco:com.io7m.trasco,0.0.6,io7m/trasco,com.io7m.trasco-0.0.6,io7m-com/trasco,com.io7m.trasco-0.0.6,3b7caf5d1742680b0700e515274d6b4f00256041,True,True,False,,
com.io7m.jorchard:com.io7m.jorchard,2.0.1,io7m/jorchard,com.io7m.jorchard-2.0.1,io7m-com/jorchard,com.io7m.jorchard-2.0.1,7b0abf47055d69b25ff8f3a8bfe0fde26886c2fe,True,True,False,,
com.io7m.jqpage:com.io7m.jqpage,0.0.2,io7m/jqpage,com.io7m.jqpage-0.0.2,io7m-com/jqpage,com.io7m.jqpage-0.0.2,6162d798ed89ec9a4ef938eeb276b7cb5258a1a4,True,True,False,,
com.io7m.jqpage:com.io7m.jqpage,0.0.3,io7m/jqpage,com.io7m.jqpage-0.0.3,io7m-com/jqpage,com.io7m.jqpage-0.0.3,8aaaca0e4ecb19d4326df6b63909bedc4fec63c9,True,True,False,,
com.io7m.jqpage:com.io7m.jqpage,0.0.1,io7m/jqpage,com.io7m.jqpage-0.0.1,io7m-com/jqpage,com.io7m.jqpage-0.0.1,34a4cdac77f5282c82ccce1903680c810e325a37,True,True,False,,
com.io7m.jbssio:com.io7m.jbssio,2.0.0,io7m/jbssio,com.io7m.jbssio-2.0.0,io7m-com/jbssio,com.io7m.jbssio-2.0.0,c2f8440c4583670ba71850fd58760956e2dfb104,True,True,False,,
com.io7m.jbssio:com.io7m.jbssio,1.1.1,io7m/jbssio,com.io7m.jbssio-1.1.1,io7m-com/jbssio,com.io7m.jbssio-1.1.1,4edfe2fed5121babd65485e6cc06f365b18cfee7,True,True,False,,
com.io7m.jranges:com.io7m.jranges,5.0.0,io7m/jranges,com.io7m.jranges-5.0.0,io7m-com/jranges,com.io7m.jranges-5.0.0,dee39406f09fef8882e139cb9f5991ac56b44808,True,True,False,,
com.io7m.jsamplebuffer:com.io7m.jsamplebuffer,0.0.3,io7m/jsamplebuffer,com.io7m.jsamplebuffer-0.0.3,io7m-com/jsamplebuffer,com.io7m.jsamplebuffer-0.0.3,79c3d670b3e915acc4c3e9c947658126eddb5302,True,True,False,,
com.io7m.jsamplebuffer:com.io7m.jsamplebuffer,0.0.2,io7m/jsamplebuffer,com.io7m.jsamplebuffer-0.0.2,io7m-com/jsamplebuffer,com.io7m.jsamplebuffer-0.0.2,fa5ef0e0405eb27cdd753f5e75840891921ba71b,True,True,False,,
