project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
net.mamoe|mirai-logging-log4j2|2.8.3,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",3,success,,,
io.tapir-test|tapir-extensions-allure2|2.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.12.2]",3,success,,,
de.mhus.lib|lib-tests|7.7.0,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",3,success,,,
com.slimgears.utils|test-utils-log4j|0.7.57,org.apache.logging.log4j|log4j-core|2.12.1,"[2.12.1,2.12.2]",3,success,,,
de.samply|converter.dktk.patient|2.3.0,org.apache.logging.log4j|log4j-core|2.8,"[2.8,2.12.2]",3,success,,,
org.bitbucket.askllc.fermenter|docker|2.5.0,org.bitbucket.askllc.fermenter.ale|ale-cookbook-angular|2.5.0,No suitable version,3,Failed,,Y,
io.sunshower.arcus.persist|persist-core|1.41.37.Final,io.sunshower.arcus.config|config-spring|1.41.37.Final,No suitable version,3,Failed,,Y,
de.mhus.conductor|conductor-launcher|1.1.1,de.mhus.conductor|conductor-api|1.1.1,No suitable version,3,Failed,,Y,
io.sunshower.arcus.config|config-jaxb|1.41.37.Final,io.sunshower.arcus.config|config-core|1.41.37.Final,No suitable version,3,Failed,,Y,
io.sunshower.arcus.config|config-json|1.41.37.Final,io.sunshower.arcus.config|config-core|1.41.37.Final,No suitable version,3,Failed,,Y,
io.testerra|bup|2.0-RC-19,io.testerra|core|2.0-RC-19,null,3,failed,Y,,
io.sunshower.arcus.config|config-xml|1.41.37.Final,io.sunshower.arcus.config|config-core|1.41.37.Final,No suitable version,3,Failed,,Y,
com.robypomper.josp|jcpCommons|2.2.3,com.robypomper.josp|jospJSL|2.2.3,No suitable version,3,Failed,,Y,
io.testerra|report-ng|2.0-RC-19,io.testerra|core|2.0-RC-19,null,3,failed,Y,,
io.testerra|report-model|2.0-RC-19,io.testerra|core|2.0-RC-19,null,3,failed,Y,,
