project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
ch.epfl.scala|maven-bloop_2.13|1.5.0-14-f4caf586,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.18.9,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
cn.ibizlab.plugin|ibizlab-boot-starter-data|2.4.1,org.flowable|flowable-ui-modeler-conf|6.4.2,"[6.4.2,6.7.2]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.11-30-75fb3441,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.4-28-1b0777db,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.rest.api.admin.feature|9.2.49,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.49,"[9.2.49,9.16.2]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.4-12-302d8a99,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.14.8,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.65,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.rest.api.admin.feature|9.14.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.14.3,"[9.14.3,9.16.2]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.4-22-0e48e709,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.0-12-f9d29d4f,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.16.5,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
ch.epfl.scala|bloop-frontend_2.12|1.4.11-30-75fb3441,ch.epfl.scala|bloop-shared_2.12|1.4.11-30-75fb3441,"[1.4.11-30-75fb3441,1.4.12-16-373bc94e]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.18.13,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.16.0,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
it.unibo.alchemist|alchemist-full|14.0.0,it.unibo.alchemist|alchemist-swingui|14.0.0,"[14.0.0,24.1.12]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.20.7,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
ch.epfl.scala|bloop-frontend_2.12|1.4.11-32-df7ed99e,ch.epfl.scala|bloop-shared_2.12|1.4.11-32-df7ed99e,"[1.4.11-32-df7ed99e,1.4.12-16-373bc94e]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.18.16,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.5.3-62-2093ddd1,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.17.0,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.41,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.18.13,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.5.4-36-d2f417c6,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.20.4,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.4.13-64-4e5281cb,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.throttle.policy.deployer|9.2.49,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.49,"[9.2.49,9.16.2]",5,success,,,
org.daisy.pipeline.modules.braille|dtbook-to-pef|8.0.0,org.daisy.pipeline.modules|fileset-utils|4.0.0,"[4.0.0,5.2.0]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.2-7-12f8faac,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.24,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
org.daisy.pipeline.modules|css-speech|3.1.1,org.daisy.pipeline.modules|fileset-utils|4.0.0,"[4.0.0,5.2.0]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.18.14,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.4,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.4.13-12-6d14a532,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.4-98-5b4a2ad7,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.99,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.5.4-54-cfc03bdc,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.35,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.cache.invalidation|9.2.51,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.51,"[9.2.51,9.16.2]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.12-46-0dc735af,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.oauth|1.0.65,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.0,"[9.2.0,9.16.2]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.13-42-1b6633ae,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.7,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.29,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.4.13-43-2580f21c,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.2.51,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.51,"[9.2.51,9.16.2]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.4-102-9ec8b51f,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.3-8-c47dcb02,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.3-44-03658369,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.19.1,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.sts.server.feature|5.10.0,org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.sts|5.10.0,No suitable version,5,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.34,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
org.daisy.pipeline.modules|daisy202-to-daisy3|1.0.2,org.daisy.pipeline.modules|fileset-utils|4.0.0,"[4.0.0,5.2.0]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.12-4-b38916d2,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.36,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.5.3-65-72f9449a,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.0,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.output.adapter.http|9.10.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.10.3,"[9.10.3,9.16.2]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.11-45-623bf486,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.2.51,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.51,"[9.2.51,9.16.2]",5,success,,,
org.daisy.pipeline.modules|odf-utils|1.0.2,org.daisy.pipeline.modules|fileset-utils|4.0.0,"[4.0.0,5.2.0]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.oauth|1.0.69,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.0,"[9.2.0,9.16.2]",5,success,,,
us.ihmc|scs2-bullet-simulation-test|17-0.10.1,us.ihmc|scs2-session-visualizer-jfx|17-0.10.1,"[17-0.10.1,17-0.11.1]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.70,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.4.13-47-46c03349,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.core|1.0.69,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.0,"[9.2.0,9.16.2]",5,success,,,
ch.epfl.scala|buildpress_2.12|1.4.12,ch.epfl.scala|bloop-shared_2.12|1.4.12,"[1.4.12,1.4.12-16-373bc94e]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.core|1.0.70,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.0,"[9.2.0,9.16.2]",5,success,,,
ch.epfl.scala|bloop-frontend_2.12|1.4.12,ch.epfl.scala|bloop-shared_2.12|1.4.12,"[1.4.12,1.4.12-16-373bc94e]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.4-95-d59e5eea,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.3-4-b5cf7cc4,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.1,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.4.12-69-12bdc7f9,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.4-52-ae651c7b,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
us.ihmc|scs2-examples|17-0.13.2,us.ihmc|scs2-session-visualizer-jfx|17-0.13.2,"[17-0.13.2,17-0.14.0]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway.feature|9.2.49,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.49,"[9.2.49,9.16.2]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.oauth|1.0.73,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.0,"[9.2.0,9.16.2]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.13-50-8332ee9c,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|bloop-frontend_2.12|1.4.11-34-9e5d2075,ch.epfl.scala|bloop-shared_2.12|1.4.11-34-9e5d2075,"[1.4.11-34-9e5d2075,1.4.12-16-373bc94e]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.20.0,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway.feature|9.2.51,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.51,"[9.2.51,9.16.2]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.cleanup.service|1.0.72,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.0,"[9.2.0,9.16.2]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.91,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
ch.epfl.scala|bloop-frontend_2.12|1.4.11-28-dd429fcb,ch.epfl.scala|bloop-shared_2.12|1.4.11-28-dd429fcb,"[1.4.11-28-dd429fcb,1.4.12-16-373bc94e]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.16.2,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.broker.lifecycle|9.10.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.10.3,"[9.10.3,9.16.2]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.cleanup.service|9.2.70,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.70,"[9.2.70,9.16.2]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.18.7,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.8.0,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.8.0,"[9.8.0,9.22.84]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.18.24,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.46,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
org.daisy.pipeline.modules|daisy3-to-daisy202|2.0.5,org.daisy.pipeline.modules|fileset-utils|4.0.0,"[4.0.0,5.2.0]",5,success,,,
org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.2,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|2.0.4,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.20.10,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.5,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.20.6,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.30,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
