project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.rest.api.publisher.feature|9.10.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.10.3,"[9.10.3,9.16.2]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.throttle.policy.deployer.feature|9.2.70,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.70,"[9.2.70,9.16.2]",5,success,,,
org.daisy.pipeline.modules.braille|liblouis-utils|4.1.0,org.daisy.pipeline.modules|fileset-utils|4.0.0,"[4.0.0,5.2.0]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.2.51,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.51,"[9.2.51,9.16.2]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.11-34-9e5d2075,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.18.23,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.18.0,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.15.0,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.18.19,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.rest.api.store.feature|9.14.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.14.3,"[9.14.3,9.16.2]",5,success,,,
org.daisy.pipeline.modules|audio-common|4.0.0,org.daisy.pipeline.modules|fileset-utils|4.0.0,"[4.0.0,5.2.0]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.12-6-1261d1aa,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tracing|9.14.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.14.3,"[9.14.3,9.16.2]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.18.18,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.5.4-71-c3640ae6,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.throttle.policy.deployer.feature|9.2.51,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.51,"[9.2.51,9.16.2]",5,success,,,
org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.4,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|2.0.4,No suitable version,5,failed,,Y,
org.daisy.pipeline.modules|epub3-validator|2.0.2,org.daisy.pipeline.modules|epub-utils|1.2.1,"[1.2.1,1.2.4]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.4-50-768bd9ba,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.3-26-ee0b253d,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.core|9.10.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.10.3,"[9.10.3,9.16.2]",5,success,,,
org.daisy.pipeline.modules.braille|liblouis-utils|4.0.0,org.daisy.pipeline.modules|fileset-utils|4.0.0,"[4.0.0,5.2.0]",5,success,,,
org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.7,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|2.0.4,No suitable version,5,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.rest.api.publisher.feature|9.2.70,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.70,"[9.2.70,9.16.2]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.18.25,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.daisy.pipeline.modules|css-utils|4.0.0,org.daisy.pipeline.modules|fileset-utils|4.0.0,"[4.0.0,5.2.0]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.2.62,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.2.62,"[9.2.62,9.6.2]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.throttle.policy.deployer|9.10.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.10.3,"[9.10.3,9.16.2]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.16.3,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.4.13-20-5ae9868b,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.11-19-93ebe2c6,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.69,org.wso2.carbon.extension.identity.oauth2.grantType.token.exchange|org.wso2.carbon.identity.oauth2.grant.token.exchange|1.0.2,No suitable version,5,failed,,Y,
ch.epfl.scala|maven-bloop_2.13|1.4.13-18-3cc4983b,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.rest.api.publisher.feature|9.2.49,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.49,"[9.2.49,9.16.2]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.18.25,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
org.daisy.pipeline.modules|validation-utils|1.0.9,org.daisy.pipeline.modules|fileset-utils|4.0.0,"[4.0.0,5.2.0]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.12-16-373bc94e,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.5.4-32-fbc9dd32,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
ch.epfl.scala|maven-bloop_2.13|1.4.13-14-4b53ae05,net.alchim31.maven|scala-maven-plugin|4.5.3,"[4.5.3,4.5.6]",5,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.15.4,org.wso2.carbon.extension.identity.oauth2.grantType.jwt|org.wso2.carbon.identity.oauth2.grant.jwt|1.0.31,No suitable version,5,failed,,Y,
