project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.scalablytyped.converter|importer_2.12|1.0.0-beta37,ch.epfl.scala|bloop-frontend_2.12|1.4.11,"[1.4.11,1.4.12-16-373bc94e]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.14.4,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.14.4,"[9.14.4,9.22.72]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.14.9,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.9,"[9.14.9,9.22.84]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.16.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.16.3,"[9.16.3,9.22.72]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.17,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.17,"[1.1.17,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.15.4,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.15.4,"[9.15.4,9.22.72]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.16.0,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.16.0,"[9.16.0,9.22.72]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.36,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.36,"[1.1.36,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.4,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.4,"[1.1.4,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.15.0,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.15.0,"[9.15.0,9.22.72]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.47,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.47,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.35,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.35,"[1.1.35,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.18,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.18,"[1.1.18,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.72,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.72,"[1.0.72,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.40,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.40,"[1.1.40,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.37,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.37,"[1.1.37,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.40,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.40,"[1.1.40,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.0,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.0,"[1.1.0,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.37,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.37,"[1.1.37,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.19,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.19,"[1.1.19,1.1.43]",6,success,,,
org.dashbuilder|dashbuilder-distros|7.65.0.Final,org.dashbuilder|dashbuilder-webapp|7.65.0.Final,No suitable version,6,failed,,Y,
org.daisy.pipeline.modules|dtbook-utils|3.1.0,org.daisy.pipeline.modules|metadata-utils|2.0.1,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.39,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.39,"[1.1.39,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.38,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.38,"[1.1.38,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.34,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.34,"[1.1.34,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.88,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.88,"[1.0.88,1.1.43]",6,success,,,
com.innovenso.townplanner|innovenso-townplanner-io-plantuml|3.0.2,com.innovenso.townplanner|innovenso-townplanner-io|3.0.1,"[3.0.1,3.0.2]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.15.5,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.5,"[9.15.5,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.46,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.46,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.41,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.41,"[1.1.41,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.17,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.17,"[1.1.17,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.19,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.19,"[1.1.19,1.1.43]",6,success,,,
org.wso2.carbon.identity.carbon.auth.iwa|org.wso2.carbon.identity.authenticator.iwa.ui|5.5.0,org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.mgt|5.6.0,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.26,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.26,"[1.1.26,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.23,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.23,"[1.1.23,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.34,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.34,"[1.1.34,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.14.8,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.14.8,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.97,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.97,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.22,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.22,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.31,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.31,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.4.2,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.4.2,null,6,failed,Y,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.14.8,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.8,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.65,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.65,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.83,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.83,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.4.1,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.4.1,null,6,failed,Y,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.15.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.3,null,6,failed,Y,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.15.4,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.4,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.21,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.21,null,6,failed,Y,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.14.6,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.6,null,6,failed,Y,,
org.wso2.km.ext.wso2is|distribution|1.6.8,org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.8,null,6,failed,Y,,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.mgt.server.feature|5.10.0,org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.mgt|5.10.0,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.41,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.41,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.90,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.90,null,6,failed,Y,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.33,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.33,"[1.1.33,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.38,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.38,"[1.1.38,1.1.43]",6,success,,,
