project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.scalablytyped.converter|importer_2.12|1.0.0-beta37,ch.epfl.scala|bloop-frontend_2.12|1.4.11,"[1.4.11,1.4.12-16-373bc94e]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.42,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.42,"[1.1.42,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.33,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.33,"[1.1.33,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.44,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.44,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.28,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.28,"[1.1.28,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.87,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.87,"[1.0.87,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.46,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.46,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.37,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.37,"[1.1.37,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.93,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.93,"[1.0.93,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.44,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.44,No suitable version,6,failed,,Y,
org.wso2.km.ext.wso2is|distribution|1.6.6,org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.6,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.35,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.35,"[1.1.35,1.1.43]",6,success,,,
org.daisy.pipeline.modules.braille|dtbook-to-pef|9.0.1,org.daisy.pipeline.modules|metadata-utils|2.0.1,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.39,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.39,"[1.1.39,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.24,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.24,"[1.1.24,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.84,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.84,"[1.0.84,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.7,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.7,"[1.1.7,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.28,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.28,"[1.1.28,1.1.43]",6,success,,,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.sts.feature|5.7.5,org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.sts.server.feature|5.7.5,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.73,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.73,"[1.0.73,1.1.43]",6,success,,,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.sts.feature|5.10.0,org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.sts.server.feature|5.10.0,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.42,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.42,"[1.1.42,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.16.1,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.16.1,"[9.16.1,9.22.72]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.29,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.29,"[1.1.29,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.45,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.45,No suitable version,6,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.15.2,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.15.2,"[9.15.2,9.22.72]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.25,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.25,"[1.1.25,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.68,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.68,"[1.0.68,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.16.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.16.3,"[9.16.3,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.36,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.36,"[1.1.36,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.14.5,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.14.5,"[9.14.5,9.22.72]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.21,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.21,"[1.1.21,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.24,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.24,"[1.1.24,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.92,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.92,"[1.0.92,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.34,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.34,"[1.1.34,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.16.1,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.16.1,"[9.16.1,9.22.84]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.14.4,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.4,"[9.14.4,9.22.84]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.14.6,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.6,"[9.14.6,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.85,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.85,"[1.0.85,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.1,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.1,"[1.1.1,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.14.7,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.14.7,"[9.14.7,9.22.72]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.15.1,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.15.1,"[9.15.1,9.22.72]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.14.4,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.4,"[9.14.4,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.23,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.23,"[1.1.23,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.persistence.mongodb|1.1.41,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.41,"[1.1.41,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.15.4,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.4,"[9.15.4,9.22.84]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.14.9,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.14.9,"[9.14.9,9.22.72]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.31,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.31,"[1.1.31,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.98,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.98,"[1.0.98,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.69,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.69,"[1.0.69,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.gateway|9.15.3,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.15.3,"[9.15.3,9.22.84]",6,success,,,
org.wso2.km.ext.wso2is|distribution|1.6.4,org.wso2.km.ext.wso2is|wso2is.key.manager.core|1.6.4,No suitable version,6,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymanager.feature|9.14.5,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.5,"[9.14.5,9.22.84]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.20,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.20,"[1.1.20,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.27,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.27,"[1.1.27,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.0.94,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.0.94,"[1.0.94,1.1.43]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler.feature|1.1.45,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.45,No suitable version,6,failed,,Y,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.40,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.40,"[1.1.40,1.1.43]",6,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt.feature|9.14.6,org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.14.6,"[9.14.6,9.22.72]",6,success,,,
org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.operation.policy.provider.bcentralprovider|1.1.29,org.wso2.am.choreo.extensions|org.wso2.am.choreo.extensions.token.handler|1.1.29,"[1.1.29,1.1.43]",6,success,,,
