project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.alliancegenome|agr_curation_api|v0.16.0-rc1,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.15.0]",1,success,,,
com.siliconmtn|nga-oe-java|0.1.53,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
org.alliancegenome|agr_curation_api|v0.15.0-rc2,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.15.0]",1,success,,,
org.alliancegenome|agr_curation_api|v0.15.0,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring-web|4.7.8.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.weaverplatform|sp4rql-parser|1.8.0,org.apache.logging.log4j|log4j-core|2.13.1,"[2.13.1,2.15.0]",1,success,,,
com.flash3388.flashlib|flashlib.frc.robot|2023.2.0-alpha.1,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.12.2]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring-web|4.7.9.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.alliancegenome|agr_curation_api|v0.17.0-rc1,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.15.0]",1,success,,,
com.nasuyun|integration-log4j|1.0.1,org.apache.logging.log4j|log4j-core|2.11.0,null,1,failed,Y,,
org.jboss.resteasy|resteasy-integration-tests|5.0.6.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
io.aelf|aelf-sdk|1.2.3,org.apache.logging.log4j|log4j-core|2.6.2,"[2.6.2,2.12.2]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring-inmodule|4.7.9.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
