project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
com.netflix.conductor|conductor-es5-persistence|2.31.6,org.apache.logging.log4j|log4j-core|2.11.1,"[2.11.1,2.11.2]",1,failed,Y,,
de.bmiag.tapir|tapir-selenium|4.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.12.2]",1,success,,,
io.nosqlbench|nb-annotations|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
org.alluxio|alluxio-assembly-client|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.nutz.cloud|nutzcloud-perca|2.5.1.v20220215,org.apache.logging.log4j|log4j-core|2.13.1,"[2.13.1,2.15.0]",1,success,,,
io.github.githublaohu|log4j2-dependent|0.1.4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
de.bmiag.tapir|tapir-page-execution|4.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.12.2]",1,success,,,
org.caffinitas.ohc|ohc-benchmark|0.7.2,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
com.files|files-sdk|1.0.188,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.13.3]",1,failed,Y,,
org.wso2.carbon.identity.framework|org.wso2.carbon.identity.testutil|5.20.283,org.apache.logging.log4j|log4j-core|2.12.0,"[2.12.0,2.12.2]",1,success,,,
io.sunshower.arcus|arcus-log|1.41.40.Final,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
org.alluxio|alluxio-shaded|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
io.nosqlbench|docsys|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
com.fortanix|sdkms-client|4.2.1527,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
com.weaverplatform|sdk-java|3.24.0,org.apache.logging.log4j|log4j-core|2.13.1,"[2.13.1,2.15.0]",1,success,,,
com.github.privaliatech|gingerspec|2.2.12,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
com.navercorp.pinpoint|pinpoint-profiler-test|2.3.2,org.apache.logging.log4j|log4j-core|2.12.1,"[2.12.1,2.11.2]",1,failed,Y,,
org.wso2.carbon.identity.framework|org.wso2.carbon.identity.testutil|5.20.274,org.apache.logging.log4j|log4j-core|2.12.0,"[2.12.0,2.12.2]",1,success,,,
org.wso2.carbon.identity.framework|org.wso2.carbon.identity.testutil|5.20.271,org.apache.logging.log4j|log4j-core|2.12.0,"[2.12.0,2.12.2]",1,success,,,
de.edgesoft|edgeutils|0.15.0,org.apache.logging.log4j|log4j-core|2.11.2,"[2.11.2,2.12.2]",1,success,,,
org.jboss.resteasy.spring|resteasy-integration-tests-spring-unit|3.0.0.Alpha1,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
io.github.stcarolas.enriched-beans|enriched-beans-java-model|0.4.0,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
com.files|files-sdk|1.0.187,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring-deployment|4.7.7.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.github.bld-commons.excel|generator-excel|4.0.3,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
io.tapir-test|tapir-extensions-junit5|2.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.12.2]",1,success,,,
org.alluxio|alluxio-core-client-hdfs|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
io.nosqlbench|nb-api|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
com.github.shoothzj|sdk-net|3.1.4,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
com.alipay.sofa|jraft-example|1.2.7.bugfix,org.apache.logging.log4j|log4j-core|2.2,"[2.2,2.3.1]",1,success,,,
org.opencb.cellbase|cellbase-lib|5.0.2,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.alluxio|alluxio-table-server-master|2.6.2-3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.alluxio|alluxio-table-shell|2.6.2-4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
de.bmiag.tapir|tapir-selenium-execution|4.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.12.2]",1,success,,,
com.datadoghq|jmxfetch|0.45.0,org.apache.logging.log4j|log4j-core|2.12.1,"[2.12.1,2.12.2]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring|4.7.5.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
io.tapir-test|tapir-extensions-feature-ide|2.0.0,org.apache.logging.log4j|log4j-core|2.7,"[2.7,2.11.2]",1,failed,Y,,
io.nosqlbench|virtdata-userlibs|4.15.70,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.14.1]",1,failed,Y,,
