project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.0.49,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
com.ig.orchestrations.us.rfed|orchestration|0.4.9,io.fixprotocol.orchestrations|fix-standard|1.5.1,"[1.5.1,1.5.2]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|0.6.0-bullet-alpha-2,us.ihmc|scs2-simulation|0.6.0-bullet-alpha-2,"[0.6.0-bullet-alpha-2,17-0.11.1]",4,success,,,
it.unibo.alchemist|alchemist-swingui|13.0.6,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.9.1,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
it.unibo.alchemist|alchemist-swingui|24.1.3,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
us.ihmc|scs2-simulation-test|0.8.0-bullet-alpha-5,us.ihmc|scs2-simulation|0.8.0-bullet-alpha-5,"[0.8.0-bullet-alpha-5,17-0.11.1]",4,success,,,
org.wso2.km.ext.wso2is|wso2is.notification.event.handlers|1.4.0,org.wso2.carbon.identity.datapublisher.authentication|org.wso2.carbon.identity.data.publisher.application.authentication|5.3.19,"[5.3.19,5.6.1]",4,success,,,
io.get-coursier|lm-coursier_2.12|2.0.16,org.scala-sbt|librarymanagement-ivy_2.12|1.3.4,"[1.3.4,1.6.0]",4,success,,,
io.get-coursier|lm-coursier_2.13|2.0.10,org.scala-sbt|librarymanagement-ivy_2.13|1.5.0-M3,"[1.5.0-M3,1.5.1]",4,success,,,
org.daisy.pipeline.modules.braille|epub3-to-pef|4.2.1,org.daisy.pipeline.modules.braille|pef-utils|4.0.4,"[4.0.4,5.0.2]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.2.63,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.68,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.9.1,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.1.10,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.14.2,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
io.gitee.cikaros|fly-feel-security-resource|2.0.1,io.gitee.cikaros|fly-feel-define|2.0.2,No suitable version,4,failed,,Y,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.39,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.53,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
us.ihmc|scs2-session-test|0.8.5,us.ihmc|scs2-session|0.8.5,"[0.8.5,17-0.11.1]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.1.0,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
ch.epfl.scala|bloop-shared_2.12|1.4.12-4-b38916d2,ch.epfl.scala|zinc_2.12|1.3.0-M4+47-d881fa2f,No suitable version,4,failed,,Y,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.multi.attribute.login.service|1.5.56,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.governance|1.5.56,"[1.5.56,1.5.84]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.57,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
us.ihmc|scs2-simulation-test|17-0.9.1,us.ihmc|scs2-simulation|17-0.9.1,"[17-0.9.1,17-0.11.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.2.20,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
it.unibo.alchemist|alchemist-swingui|19.0.4,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.10.1,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.account.suspension.notification.task.server.feature|1.5.52,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.account.suspension.notification.task|1.5.52,"[1.5.52,1.5.84]",4,success,,,
com.lihaoyi|mill-scalalib-worker_2.13|0.10.0-M4-40-7be8b0,org.scala-sbt|zinc_2.13|1.5.7,"[1.5.7,1.5.8]",4,success,,,
ch.epfl.scala|bloop-shared_2.12|1.4.11-19-93ebe2c6,ch.epfl.scala|zinc_2.12|1.3.0-M4+47-d881fa2f,No suitable version,4,failed,,Y,
org.daisy.pipeline|framework-core|5.0.1,org.daisy.pipeline|common-utils|5.1.2,No suitable version,4,failed,,Y,
us.ihmc|scs2-session-logger|17-0.5.1,us.ihmc|scs2-session|17-0.5.1,"[17-0.5.1,17-0.11.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.14.1,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
it.unibo.alchemist|alchemist-swingui|19.0.2,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
io.get-coursier|lm-coursier_2.12|2.0.13,org.scala-sbt|librarymanagement-ivy_2.12|1.3.4,"[1.3.4,1.6.0]",4,success,,,
us.ihmc|scs2-simulation-construction-set|0.8.5,us.ihmc|scs2-session|0.8.5,"[0.8.5,17-0.11.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.14.2,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.2.52,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.1,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|0.5.1-bullet-alpha-1,us.ihmc|ihmc-javafx-toolkit|0.20.0,"[0.20.0,17-0.22.0]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|0.8.4,us.ihmc|ihmc-javafx-toolkit|0.21.1,"[0.21.1,17-0.22.0]",4,success,,,
org.wso2.carbon.identity.application.auth.basic|org.wso2.carbon.identity.application.authenticator.basicauth.server.feature|6.4.0,org.wso2.carbon.identity.application.auth.basic|org.wso2.carbon.identity.application.authenticator.basicauth|6.4.0,"[6.4.0,6.4.7]",4,success,,,
io.github.alexarchambault.bleep|bloop-backend_2.12|1.4.15,org.scala-sbt|librarymanagement-ivy_2.12|1.0.0,"[1.0.0,1.6.0]",4,success,,,
us.ihmc|scs2-examples|17-0.8.6-bullet-alpha-7,us.ihmc|scs2-bullet-simulation|17-0.8.6-bullet-alpha-7,"[17-0.8.6-bullet-alpha-7,17-0.11.1]",4,success,,,
org.wso2.carbon.apimgt.identity.migration.resources|org.wso2.carbon.is.migration|1.1.162,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.46,"[1.5.46,1.6.1]",4,success,,,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.multi.attribute.login.service|1.5.52,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.governance|1.5.52,"[1.5.52,1.5.84]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.12.3,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.60,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.passive|5.6.19,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.18.8,"[5.18.8,5.18.11]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.13.0,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.14.2,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.2.69,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
com.tencent.bk.devops.ci.common|common-pipeline|1.5.37-RELEASE,com.tencent.bk.devops.ci.common|common-event|1.5.37-RELEASE,"[1.5.37-RELEASE,1.7.37-RELEASE]",4,success,,,
org.wso2.carbon.identity.application.auth.basic|org.wso2.carbon.identity.application.authentication.handler.session|6.3.54,org.wso2.carbon.identity.application.auth.basic|org.wso2.carbon.identity.application.authenticator.basicauth|6.3.54,"[6.3.54,6.4.7]",4,success,,,
it.unibo.alchemist|alchemist-swingui|15.0.1,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
us.ihmc|scs2-session-test|17-0.12.0,us.ihmc|scs2-session|17-0.12.0,"[17-0.12.0,17-0.14.0]",4,success,,,
org.wso2.carbon.apimgt.identity.migration.resources|org.wso2.carbon.is.migration|1.0.161,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.46,"[1.5.46,1.6.1]",4,success,,,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.password.history.server.feature|1.5.57,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.password.history|1.5.57,"[1.5.57,1.5.84]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|17-0.8.2,us.ihmc|scs2-simulation|17-0.8.2,"[17-0.8.2,17-0.11.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.2.71,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.password.history.server.feature|1.5.58,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.password.history|1.5.58,"[1.5.58,1.5.84]",4,success,,,
com.ig.orchestrations.us.rfed|orchestration|0.4.17,io.fixprotocol.orchestrations|fix-standard|1.5.1,"[1.5.1,1.5.2]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.2.64,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
io.get-coursier|lm-coursier_2.12|2.0.10,org.scala-sbt|librarymanagement-ivy_2.12|1.3.4,"[1.3.4,1.6.0]",4,success,,,
it.unibo.alchemist|alchemist-swingui|24.0.7,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.7.2,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
in.hocg.boot|mybatis-plus-extensions-httplog-spring-boot-starter|1.0.54,in.hocg.boot|mybatis-plus-extensions-httplog-autoconfigure|1.0.54,"[1.0.54,1.0.55]",4,success,,,
it.unibo.alchemist|alchemist-swingui|21.0.2,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.0.57,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.passive|5.10.1,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.66,"[5.20.66,5.20.72]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|0.6.0,us.ihmc|scs2-session|0.6.0,"[0.6.0,17-0.11.1]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.1.16,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.identity.inbound.auth.oauth2|org.wso2.carbon.identity.webfinger|6.7.117,org.wso2.carbon.identity.inbound.auth.oauth2|org.wso2.carbon.identity.discovery|6.7.117,"[6.7.117,6.7.170]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|17-0.8.0,us.ihmc|ihmc-graphics-description|0.19.4,"[0.19.4,0.19.5]",4,success,,,
org.daisy.pipeline.modules.braille|css-utils|5.2.1,org.daisy.pipeline.modules.braille|common-utils|8.2.1,No suitable version,4,failed,,Y,
ch.epfl.scala|bloop-shared_2.12|1.4.11-28-dd429fcb,ch.epfl.scala|zinc_2.12|1.3.0-M4+47-d881fa2f,No suitable version,4,failed,,Y,
ch.epfl.scala|bloop-shared_2.12|1.4.11-45-623bf486,ch.epfl.scala|zinc_2.12|1.3.0-M4+47-d881fa2f,No suitable version,4,failed,,Y,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.0.369.6,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
us.ihmc|scs2-simulation-construction-set|17-0.8.6-bullet-alpha-7,us.ihmc|scs2-session|17-0.8.6-bullet-alpha-7,"[17-0.8.6-bullet-alpha-7,17-0.11.1]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.0.46,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|0.8.5,us.ihmc|ihmc-javafx-toolkit|0.21.1,"[0.21.1,17-0.22.0]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.52,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
org.wso2.km.ext.wso2is|wso2is.notification.event.handlers|1.4.1,org.wso2.carbon.identity.datapublisher.authentication|org.wso2.carbon.identity.data.publisher.application.authentication|5.3.19,"[5.3.19,5.6.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.18,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
ch.epfl.scala|bloop-backend_2.12|1.4.12-8-50cc7dc0,org.scala-sbt|librarymanagement-ivy_2.12|1.0.0,"[1.0.0,1.6.0]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.1.4,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.55,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.1.19,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.10.0,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.0.78,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.apimgt.identity.migration.resources|org.wso2.carbon.is.migration|1.1.163,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.46,"[1.5.46,1.6.1]",4,success,,,
it.unibo.alchemist|alchemist-swingui|12.2.3,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.tenant.resource.manager|1.5.54,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.governance|1.5.54,"[1.5.54,1.5.84]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.22,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.tokenmgt|9.2.56,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
us.ihmc|scs2-simulation-construction-set|17-0.10.0,us.ihmc|scs2-session|17-0.10.0,"[17-0.10.0,17-0.11.1]",4,success,,,
io.get-coursier|definitions_2.12|2.0.11-1,org.scala-sbt|librarymanagement-ivy_2.12|1.3.4,"[1.3.4,1.6.0]",4,success,,,
us.ihmc|scs2-session-test|17-0.9.5,us.ihmc|scs2-session|17-0.9.5,"[17-0.9.5,17-0.11.1]",4,success,,,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.password.history.server.feature|1.5.55,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.password.history|1.5.55,"[1.5.55,1.5.84]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.2.55,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
ch.epfl.scala|bloop-backend_2.12|1.4.11-30-75fb3441,org.scala-sbt|librarymanagement-ivy_2.12|1.0.0,"[1.0.0,1.6.0]",4,success,,,
ch.epfl.scala|bloop-backend_2.12|1.4.11-49-5535314b,org.scala-sbt|librarymanagement-ivy_2.12|1.0.0,"[1.0.0,1.6.0]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.37,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.0.369.1,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
org.wso2.carbon.identity.inbound.auth.saml2|org.wso2.carbon.identity.query.saml|5.9.11,org.wso2.carbon.identity.inbound.auth.saml2|org.wso2.carbon.identity.sso.saml|5.9.11,"[5.9.11,5.11.0]",4,success,,,
org.wso2.carbon.identity.inbound.auth.saml2|org.wso2.carbon.identity.sso.saml.ui|5.9.11,org.wso2.carbon.identity.framework|org.wso2.carbon.idp.mgt|5.20.127,"[5.20.127,5.20.295]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.54,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
it.unibo.alchemist|alchemist-swingui|24.1.4,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
it.unibo.alchemist|alchemist-swingui|12.1.1,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.2.21,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.identity.migration.resources|org.wso2.carbon.is.migration|1.0.225,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.46,"[1.5.46,1.6.1]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|0.8.5-bullet-alpha-6,us.ihmc|ihmc-javafx-toolkit|0.21.1,"[0.21.1,17-0.22.0]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.2.14,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.12.3,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
io.get-coursier|lm-coursier-shaded_2.13|2.0.10,org.scala-sbt|librarymanagement-ivy_2.13|1.5.0-M3,"[1.5.0-M3,1.5.1]",4,success,,,
it.unibo.alchemist|alchemist-swingui|24.0.8,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.46,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
ch.epfl.scala|bloop-shared_2.12|1.4.11-32-df7ed99e,ch.epfl.scala|zinc_2.12|1.3.0-M4+47-d881fa2f,No suitable version,4,failed,,Y,
io.github.alexarchambault.bleep|bloop-backend_2.12|1.4.13,org.scala-sbt|librarymanagement-ivy_2.12|1.0.0,"[1.0.0,1.6.0]",4,success,,,
us.ihmc|scs2-session-test|17-0.13.0,us.ihmc|scs2-session|17-0.13.0,"[17-0.13.0,17-0.14.0]",4,success,,,
org.wso2.carbon.identity.application.auth.basic|org.wso2.carbon.identity.application.authenticator.basicauth.jwt|6.4.0,org.wso2.carbon.identity.application.auth.basic|org.wso2.carbon.identity.application.authenticator.basicauth|6.4.0,"[6.4.0,6.4.7]",4,success,,,
us.ihmc|scs2-simulation-construction-set|17-0.13.0,us.ihmc|scs2-session|17-0.13.0,"[17-0.13.0,17-0.14.0]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.0.58,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.identity.datapublisher.authentication|org.wso2.carbon.identity.data.publisher.application.authentication.server.feature|5.3.23,org.wso2.carbon.identity.datapublisher.authentication|org.wso2.carbon.identity.data.publisher.application.authentication|5.3.23,"[5.3.23,5.6.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.2.21,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.0.45,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
ch.epfl.scala|bloop-backend_2.12|1.4.12,org.scala-sbt|librarymanagement-ivy_2.12|1.0.0,"[1.0.0,1.6.0]",4,success,,,
us.ihmc|scs2-examples|0.8.2-bullet-alpha-5,us.ihmc|scs2-bullet-simulation|0.8.2-bullet-alpha-5,null,4,failed,Y,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.1.13,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.impl|9.0.369.5,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.4.72,"[1.4.72,1.4.101]",4,success,,,
org.wso2.samples.is|sample-handler|4.3.8,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.18.0,"[5.18.0,5.18.11]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.57,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
org.wso2.samples.is|sample-handler|4.5.0,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.18.0,"[5.18.0,5.18.11]",4,success,,,
us.ihmc|scs2-session-logger|0.7.0-bullet-alpha-3,us.ihmc|scs2-simulation|0.7.0-bullet-alpha-3,"[0.7.0-bullet-alpha-3,17-0.11.1]",4,success,,,
org.wso2.carbon.identity.inbound.auth.sts|org.wso2.carbon.identity.sts.passive|5.6.21,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.18.8,"[5.18.8,5.18.11]",4,success,,,
us.ihmc|scs2-simulation-construction-set|17-0.13.2,us.ihmc|scs2-session|17-0.13.2,"[17-0.13.2,17-0.14.0]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|0.3.0,us.ihmc|scs2-simulation|0.3.0,"[0.3.0,0.6.0]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|0.8.3,us.ihmc|scs2-simulation|0.8.3,"[0.8.3,17-0.11.1]",4,success,,,
org.wso2.samples.is|sample-handler|4.3.10,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.18.0,"[5.18.0,5.18.11]",4,success,,,
us.ihmc|scs2-simulation-test|0.8.5,us.ihmc|scs2-simulation|0.8.5,"[0.8.5,17-0.11.1]",4,success,,,
io.get-coursier|lm-coursier_2.12|2.0.10-1,org.scala-sbt|librarymanagement-ivy_2.12|1.3.4,"[1.3.4,1.6.0]",4,success,,,
