project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
pro.haichuang.framework|hc-sdk-huaweicloudobs|1.2.0.211209,com.huaweicloud|esdk-obs-java|3.21.4.1,"[3.21.4.1,3.21.11]",2,success,,,
com.velocidi|apso-testkit_2.13|0.18.5,org.codelibs|elasticsearch-cluster-runner|7.10.2.0,No suitable version,2,failed,,Y,
org.intermine|bio-webapp|5.1.0,org.biojava|biojava-core|4.2.0,"[4.2.0,6.0.2]",2,success,,,
com.yahoo.maha|maha-core|6.106,org.apache.druid|druid-server|0.21.1,"[0.21.1,0.22.1]",2,success,,,
com.gitee.zodiacstack|zodiac-oss-spring-boot-starter|1.4.9,com.huaweicloud|esdk-obs-java|3.19.7,"[3.19.7,3.21.11]",2,success,,,
com.fizzgate|fizz-spring-boot-starter|2.6.4,org.springframework.boot|spring-boot-starter-log4j2|2.2.13.RELEASE,"[2.2.13.RELEASE,2.5.8]",2,success,,,
com.yahoo.maha|maha-core|6.100,org.apache.druid|druid-server|0.21.1,"[0.21.1,0.22.1]",2,success,,,
com.fizzgate|fizz-core|2.6.0,org.springframework.boot|spring-boot-starter-log4j2|2.2.13.RELEASE,"[2.2.13.RELEASE,2.5.8]",2,success,,,
io.mateu|mdd-util-extended|1.1.9,org.telegram|telegrambots|4.4.0.1,"[4.4.0.1,4.4.0.2]",2,success,,,
io.mateu|mdd-util-extended|1.1.2,org.telegram|telegrambots|4.4.0.1,"[4.4.0.1,4.4.0.2]",2,success,,,
org.alluxio|alluxio-underfs-obs|2.9.0-1,com.huaweicloud|esdk-obs-java|3.20.6,"[3.20.6,3.21.11]",2,success,,,
org.opencb.biodata|biodata-tools|2.5.0,org.biojava|biojava-alignment|4.1.0,"[4.1.0,6.0.2]",2,success,,,
org.apereo.cas|cas-server-support-ignite-ticket-registry|6.3.7.2,org.apache.ignite|ignite-log4j2|2.9.0,"[2.9.0,2.11.1]",2,success,,,
com.infotel.seleniumRobot|core|4.21.1,com.epam.reportportal|logger-java-log4j|5.0.3,"[5.0.3,5.1.1]",2,success,,,
org.apache.servicecomb.pack|alpha-spring-cloud-starter-nacos|0.7.0,org.springframework.boot|spring-boot-starter-log4j2|2.3.12.RELEASE,"[2.3.12.RELEASE,2.5.8]",2,success,,,
com.yahoo.maha|maha-core|6.98,org.apache.druid|druid-server|0.21.1,"[0.21.1,0.22.1]",2,success,,,
com.wavefront|proxy-test|999.0,org.springframework.boot|spring-boot-starter-log4j2|2.5.5,"[2.5.5,2.5.8]",2,success,,,
io.metersphere|metersphere-plugin-core|2.0,org.apache.jmeter|ApacheJMeter_core|5.4.1,"[5.4.1,5.4.2]",2,success,,,
in.hocg.boot|logging-spring-boot-starter|1.0.22,com.aliyun.openservices|aliyun-log-log4j2-appender|0.1.11,"[0.1.11,0.1.13]",2,success,,,
com.yahoo.maha|maha-core|6.130,org.apache.druid|druid-server|0.21.1,"[0.21.1,0.22.1]",2,success,,,
com.trigyn|usermanagement|1.4.4,org.springframework.boot|spring-boot-starter-log4j2|2.3.12.RELEASE,"[2.3.12.RELEASE,2.5.8]",2,success,,,
com.github.panhongan|bean2sql|1.0.5,com.github.panhongan|lalaluplus-commons|1.0,"[1.0,1.2]",2,success,,,
org.apereo.cas|cas-server-support-sentry|6.4.4,com.getsentry.raven|raven-log4j2|8.0.3,No suitable version,2,failed,,Y,
com.fizzgate|fizz-common|2.6.6,org.springframework.boot|spring-boot-starter-log4j2|2.2.13.RELEASE,"[2.2.13.RELEASE,2.5.8]",2,success,,,
com.tencent.bk.devops.ci.common|common-service|1.5.34-RELEASE,org.springframework.boot|spring-boot-starter-log4j2|2.3.4.RELEASE,"[2.3.4.RELEASE,2.5.8]",2,success,,,
com.netflix.genie|genie-web|4.1.6,org.springframework.boot|spring-boot-starter-log4j2|2.5.6,"[2.5.6,2.5.8]",2,success,,,
io.bitbucket.ruttagorn_chatdee|common|1.0.9-java-8,org.springframework.boot|spring-boot-starter-log4j2|2.5.6,"[2.5.6,2.5.8]",2,success,,,
in.hocg.boot|logging-spring-boot-starter|1.0.51,com.aliyun.openservices|aliyun-log-log4j2-appender|0.1.11,"[0.1.11,0.1.13]",2,success,,,
org.wso2.carbon.identity.conditional.auth.functions|org.wso2.carbon.identity.conditional.auth.functions.common|1.1.25,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.testutil|5.18.123,"[5.18.123,5.18.253]",2,success,,,
com.gitee.zodiacstack|zodiac-oss-spring-boot-starter|1.3.12,com.huaweicloud|esdk-obs-java|3.19.7,"[3.19.7,3.21.11]",2,success,,,
com.fizzgate|fizz-spring-boot-starter|2.6.5,org.springframework.boot|spring-boot-starter-log4j2|2.2.13.RELEASE,"[2.2.13.RELEASE,2.5.8]",2,success,,,
cn.xyliang|integration-mqtt-starter|0.0.3,org.springframework.boot|spring-boot-starter-log4j2|2.2.5.RELEASE,"[2.2.5.RELEASE,2.5.8]",2,success,,,
com.gitee.zodiacstack|zodiac-oss-spring-boot-starter|1.3.7,com.huaweicloud|esdk-obs-java|3.19.7,"[3.19.7,3.21.11]",2,success,,,
org.bitbucket.askllc.fermenter.stout|stout-cookbook-domain-webapp|2.5.0,org.bitbucket.askllc.fermenter.stout|stout-cookbook-domain|2.5.0,No suitable version,2,failed,,Y,
com.trigyn|notification|1.4.4,org.springframework.boot|spring-boot-starter-log4j2|2.3.12.RELEASE,"[2.3.12.RELEASE,2.5.8]",2,success,,,
com.robypomper.josp|jospJSL|2.2.3,com.robypomper.josp|jospCommons|2.2.3,No suitable version,2,failed,,Y,
com.fizzgate|fizz-plugin|2.6.1,org.springframework.boot|spring-boot-starter-log4j2|2.2.13.RELEASE,"[2.2.13.RELEASE,2.5.8]",2,success,,,
in.hocg.boot|logging-spring-boot-starter|1.0.37,com.aliyun.openservices|aliyun-log-log4j2-appender|0.1.11,"[0.1.11,0.1.13]",2,success,,,
org.kurento|kurento-test|6.16.5,org.apache.jmeter|ApacheJMeter_core|5.3,"[5.3,5.4.2]",2,success,,,
org.wso2.carbon.identity.branding.preference.management|org.wso2.carbon.identity.branding.preference.management.core|1.0.3,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.testutil|5.20.267,"[5.20.267,5.20.295]",2,success,,,
com.fizzgate|fizz-common|2.6.3,org.springframework.boot|spring-boot-starter-log4j2|2.2.13.RELEASE,"[2.2.13.RELEASE,2.5.8]",2,success,,,
com.trigyn|gridutils|1.5.0,org.springframework.boot|spring-boot-starter-log4j2|2.3.12.RELEASE,"[2.3.12.RELEASE,2.5.8]",2,success,,,
io.mateu|mdd-util-extended|1.1.12,org.telegram|telegrambots|4.4.0.1,"[4.4.0.1,4.4.0.2]",2,success,,,
org.immutables|criteria-geode|2.9.2,org.apache.geode|geode-core|1.9.0,"[1.9.0,1.9.1]",2,success,,,
com.qudini|qudini-reactive-sqs|0.0.50,org.springframework.boot|spring-boot-starter-log4j2|2.6.1,"[2.6.1,2.6.2]",2,success,,,
com.fizzgate|fizz-spring-boot-starter|2.5.1,org.springframework.boot|spring-boot-starter-log4j2|2.2.13.RELEASE,"[2.2.13.RELEASE,2.5.8]",2,success,,,
org.intermine|bio-source-delimited|5.1.0,org.biojava|biojava-core|4.2.0,"[4.2.0,6.0.2]",2,success,,,
com.trigyn|templating|1.4.5,org.springframework.boot|spring-boot-starter-log4j2|2.3.12.RELEASE,"[2.3.12.RELEASE,2.5.8]",2,success,,,
com.facebook.presto|presto-pinot-toolkit|0.269,com.facebook.presto.pinot|pinot-driver|0.1.2,No suitable version,2,failed,,Y,
org.apereo.cas|cas-server-support-sentry|6.3.7.4,com.getsentry.raven|raven-log4j2|8.0.3,No suitable version,2,failed,,Y,
dev.galasa|dev.galasa.docker.manager|0.20.0,dev.galasa|dev.galasa.framework|0.18.0,"[0.18.0,0.19.1]",2,success,,,
com.fizzgate|fizz-core|2.6.3,org.springframework.boot|spring-boot-starter-log4j2|2.2.13.RELEASE,"[2.2.13.RELEASE,2.5.8]",2,success,,,
io.vlingo.xoom|xoom-symbio-geode|1.9.3,org.apache.geode|geode-core|1.9.0,"[1.9.0,1.9.1]",2,success,,,
com.geektcp.common|thy-common-mq|1.0.7,org.springframework.boot|spring-boot-starter-log4j2|2.3.2.RELEASE,"[2.3.2.RELEASE,2.5.8]",2,success,,,
com.fizzgate|fizz-common|2.6.2-beta1,org.springframework.boot|spring-boot-starter-log4j2|2.2.13.RELEASE,"[2.2.13.RELEASE,2.5.8]",2,success,,,
dev.galasa|dev.galasa.cicsts.manager|0.20.0,dev.galasa|dev.galasa.framework|0.18.0,"[0.18.0,0.19.1]",2,success,,,
com.yahoo.maha|maha-core|6.116,org.apache.druid|druid-server|0.21.1,"[0.21.1,0.22.1]",2,success,,,
org.apereo.cas|cas-server-support-sentry|6.6.0-RC5,com.getsentry.raven|raven-log4j2|8.0.3,No suitable version,2,failed,,Y,
com.github.liaochong|myexcel|4.0.0.RC1,org.apache.poi|poi-ooxml-full|5.1.0,"[5.1.0,5.2.0]",2,success,,,
org.alluxio|alluxio-underfs-obs|2.9.0-2,com.huaweicloud|esdk-obs-java|3.20.6,"[3.20.6,3.21.11]",2,success,,,
com.gitee.zodiacstack|zodiac-oss-spring-boot-starter|1.4.3,com.huaweicloud|esdk-obs-java|3.19.7,"[3.19.7,3.21.11]",2,success,,,
dev.hcf.ball|ball-license-maven-plugin|2.2.7.20230305,org.spdx|spdx-tools|2.2.5,"[2.2.5,2.2.6]",2,success,,,
com.fizzgate|fizz-common|2.6.0,org.springframework.boot|spring-boot-starter-log4j2|2.2.13.RELEASE,"[2.2.13.RELEASE,2.5.8]",2,success,,,
